"","study_sh","scri_sample_id","date","state","cens.region","epa.l1.ecoreg","epa.l2.ecoreg","tnc.h2o.reg","tnc.terr.reg","h2o.habtat","terrhabtat","huc2.nm.nhd","huc4.nm.nhd","usda.regions","epa.regions","fresh","water_type","water_typem","water_typeg","water_typec","sample_type","ec","ec_methodf","ec_methodm","ec_methodc","fc","fc_methodf","fc_methodm","fc_methodc"
"12","hvtepawqx","batchf_164649","2017-08-08","ca","Pacific","MARINE WEST COAST FOREST","MARINE WEST COAST FOREST","Oregon & Northern California Coastal","California North Coast","temperate coastal rivers","Temperate Conifer Forests","California Region","Klamath-Northern California Coastal","Pacific","Pacific","freshwater","river","river","surfacewater","stream/river","grabsample",9.5,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"13","hvtepawqx","batchf_164916","2017-07-26","ca","Pacific","MARINE WEST COAST FOREST","MARINE WEST COAST FOREST","Oregon & Northern California Coastal","California North Coast","temperate coastal rivers","Temperate Conifer Forests","California Region","Klamath-Northern California Coastal","Pacific","Pacific","freshwater","stream","stream","surfacewater","stream/river","grabsample",77.1,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"14","hvtepawqx","batchf_164919","2017-08-16","ca","Pacific","MARINE WEST COAST FOREST","MARINE WEST COAST FOREST","Oregon & Northern California Coastal","California North Coast","temperate coastal rivers","Temperate Conifer Forests","California Region","Klamath-Northern California Coastal","Pacific","Pacific","freshwater","stream","stream","surfacewater","stream/river","grabsample",42.6,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"15","hvtepawqx","batchf_164917","2017-08-08","ca","Pacific","MARINE WEST COAST FOREST","MARINE WEST COAST FOREST","Oregon & Northern California Coastal","California North Coast","temperate coastal rivers","Temperate Conifer Forests","California Region","Klamath-Northern California Coastal","Pacific","Pacific","freshwater","stream","stream","surfacewater","stream/river","grabsample",64.4,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"16","hvtepawqx","batchf_164923","2017-08-01","ca","Pacific","MARINE WEST COAST FOREST","MARINE WEST COAST FOREST","Oregon & Northern California Coastal","California North Coast","temperate coastal rivers","Temperate Conifer Forests","California Region","Klamath-Northern California Coastal","Pacific","Pacific","freshwater","stream","stream","surfacewater","stream/river","grabsample",25.9,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"17","hvtepawqx","batchf_164914","2017-06-21","ca","Pacific","MARINE WEST COAST FOREST","MARINE WEST COAST FOREST","Oregon & Northern California Coastal","California North Coast","temperate coastal rivers","Temperate Conifer Forests","California Region","Klamath-Northern California Coastal","Pacific","Pacific","freshwater","stream","stream","surfacewater","stream/river","grabsample",18.5,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"18","hvtepawqx","batchf_164912","2017-09-19","ca","Pacific","MARINE WEST COAST FOREST","MARINE WEST COAST FOREST","Oregon & Northern California Coastal","California North Coast","temperate coastal rivers","Temperate Conifer Forests","California Region","Klamath-Northern California Coastal","Pacific","Pacific","freshwater","stream","stream","surfacewater","stream/river","grabsample",52.9,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"19","hvtepawqx","batchf_164913","2017-06-28","ca","Pacific","MARINE WEST COAST FOREST","MARINE WEST COAST FOREST","Oregon & Northern California Coastal","California North Coast","temperate coastal rivers","Temperate Conifer Forests","California Region","Klamath-Northern California Coastal","Pacific","Pacific","freshwater","stream","stream","surfacewater","stream/river","grabsample",5.2,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"20","hvtepawqx","batchf_164921","2017-07-19","ca","Pacific","MARINE WEST COAST FOREST","MARINE WEST COAST FOREST","Oregon & Northern California Coastal","California North Coast","temperate coastal rivers","Temperate Conifer Forests","California Region","Klamath-Northern California Coastal","Pacific","Pacific","freshwater","stream","stream","surfacewater","stream/river","grabsample",142.1,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"21","hvtepawqx","batchf_164922","2017-09-05","ca","Pacific","MARINE WEST COAST FOREST","MARINE WEST COAST FOREST","Oregon & Northern California Coastal","California North Coast","temperate coastal rivers","Temperate Conifer Forests","California Region","Klamath-Northern California Coastal","Pacific","Pacific","freshwater","stream","stream","surfacewater","stream/river","grabsample",24.1,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"22","hvtepawqx","batchf_164918","2017-08-23","ca","Pacific","MARINE WEST COAST FOREST","MARINE WEST COAST FOREST","Oregon & Northern California Coastal","California North Coast","temperate coastal rivers","Temperate Conifer Forests","California Region","Klamath-Northern California Coastal","Pacific","Pacific","freshwater","stream","stream","surfacewater","stream/river","grabsample",13.4,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"23","hvtepawqx","batchf_164915","2017-07-05","ca","Pacific","MARINE WEST COAST FOREST","MARINE WEST COAST FOREST","Oregon & Northern California Coastal","California North Coast","temperate coastal rivers","Temperate Conifer Forests","California Region","Klamath-Northern California Coastal","Pacific","Pacific","freshwater","stream","stream","surfacewater","stream/river","grabsample",6.2,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"24","hvtepawqx","batchf_164920","2017-07-12","ca","Pacific","MARINE WEST COAST FOREST","MARINE WEST COAST FOREST","Oregon & Northern California Coastal","California North Coast","temperate coastal rivers","Temperate Conifer Forests","California Region","Klamath-Northern California Coastal","Pacific","Pacific","freshwater","stream","stream","surfacewater","stream/river","grabsample",8.6,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"25","hvtepawqx","batchf_165020","2017-07-19","ca","Pacific","MARINE WEST COAST FOREST","MARINE WEST COAST FOREST","Oregon & Northern California Coastal","California North Coast","temperate coastal rivers","Temperate Conifer Forests","California Region","Klamath-Northern California Coastal","Pacific","Pacific","freshwater","stream","stream","surfacewater","stream/river","grabsample",4.1,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"26","hvtepawqx","batchf_165024","2017-07-26","ca","Pacific","MARINE WEST COAST FOREST","MARINE WEST COAST FOREST","Oregon & Northern California Coastal","California North Coast","temperate coastal rivers","Temperate Conifer Forests","California Region","Klamath-Northern California Coastal","Pacific","Pacific","freshwater","stream","stream","surfacewater","stream/river","grabsample",10.8,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"27","hvtepawqx","batchf_165021","2017-06-28","ca","Pacific","MARINE WEST COAST FOREST","MARINE WEST COAST FOREST","Oregon & Northern California Coastal","California North Coast","temperate coastal rivers","Temperate Conifer Forests","California Region","Klamath-Northern California Coastal","Pacific","Pacific","freshwater","stream","stream","surfacewater","stream/river","grabsample",3.1,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"28","hvtepawqx","batchf_165028","2017-08-01","ca","Pacific","MARINE WEST COAST FOREST","MARINE WEST COAST FOREST","Oregon & Northern California Coastal","California North Coast","temperate coastal rivers","Temperate Conifer Forests","California Region","Klamath-Northern California Coastal","Pacific","Pacific","freshwater","stream","stream","surfacewater","stream/river","grabsample",20.1,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"29","hvtepawqx","batchf_165029","2017-08-16","ca","Pacific","MARINE WEST COAST FOREST","MARINE WEST COAST FOREST","Oregon & Northern California Coastal","California North Coast","temperate coastal rivers","Temperate Conifer Forests","California Region","Klamath-Northern California Coastal","Pacific","Pacific","freshwater","stream","stream","surfacewater","stream/river","grabsample",13.5,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"30","hvtepawqx","batchf_165026","2017-08-08","ca","Pacific","MARINE WEST COAST FOREST","MARINE WEST COAST FOREST","Oregon & Northern California Coastal","California North Coast","temperate coastal rivers","Temperate Conifer Forests","California Region","Klamath-Northern California Coastal","Pacific","Pacific","freshwater","stream","stream","surfacewater","stream/river","grabsample",17.3,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"31","hvtepawqx","batchf_165027","2017-09-05","ca","Pacific","MARINE WEST COAST FOREST","MARINE WEST COAST FOREST","Oregon & Northern California Coastal","California North Coast","temperate coastal rivers","Temperate Conifer Forests","California Region","Klamath-Northern California Coastal","Pacific","Pacific","freshwater","stream","stream","surfacewater","stream/river","grabsample",3.1,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"32","hvtepawqx","batchf_165031","2017-09-19","ca","Pacific","MARINE WEST COAST FOREST","MARINE WEST COAST FOREST","Oregon & Northern California Coastal","California North Coast","temperate coastal rivers","Temperate Conifer Forests","California Region","Klamath-Northern California Coastal","Pacific","Pacific","freshwater","stream","stream","surfacewater","stream/river","grabsample",81.3,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"33","hvtepawqx","batchf_165030","2017-08-23","ca","Pacific","MARINE WEST COAST FOREST","MARINE WEST COAST FOREST","Oregon & Northern California Coastal","California North Coast","temperate coastal rivers","Temperate Conifer Forests","California Region","Klamath-Northern California Coastal","Pacific","Pacific","freshwater","stream","stream","surfacewater","stream/river","grabsample",13.4,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"34","hvtepawqx","batchf_165022","2017-07-12","ca","Pacific","MARINE WEST COAST FOREST","MARINE WEST COAST FOREST","Oregon & Northern California Coastal","California North Coast","temperate coastal rivers","Temperate Conifer Forests","California Region","Klamath-Northern California Coastal","Pacific","Pacific","freshwater","stream","stream","surfacewater","stream/river","grabsample",4.1,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"35","hvtepawqx","batchf_165025","2017-07-05","ca","Pacific","MARINE WEST COAST FOREST","MARINE WEST COAST FOREST","Oregon & Northern California Coastal","California North Coast","temperate coastal rivers","Temperate Conifer Forests","California Region","Klamath-Northern California Coastal","Pacific","Pacific","freshwater","stream","stream","surfacewater","stream/river","grabsample",35.4,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"36","hvtepawqx","batchf_165023","2017-06-21","ca","Pacific","MARINE WEST COAST FOREST","MARINE WEST COAST FOREST","Oregon & Northern California Coastal","California North Coast","temperate coastal rivers","Temperate Conifer Forests","California Region","Klamath-Northern California Coastal","Pacific","Pacific","freshwater","stream","stream","surfacewater","stream/river","grabsample",9.8,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"37","hvtepawqx","batchf_164866","2017-06-21","ca","Pacific","MARINE WEST COAST FOREST","MARINE WEST COAST FOREST","Oregon & Northern California Coastal","California North Coast","temperate coastal rivers","Temperate Conifer Forests","California Region","Klamath-Northern California Coastal","Pacific","Pacific","freshwater","stream","stream","surfacewater","stream/river","grabsample",238.2,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"38","hvtepawqx","batchf_164858","2017-07-19","ca","Pacific","MARINE WEST COAST FOREST","MARINE WEST COAST FOREST","Oregon & Northern California Coastal","California North Coast","temperate coastal rivers","Temperate Conifer Forests","California Region","Klamath-Northern California Coastal","Pacific","Pacific","freshwater","stream","stream","surfacewater","stream/river","grabsample",7,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"39","hvtepawqx","batchf_164868","2017-08-01","ca","Pacific","MARINE WEST COAST FOREST","MARINE WEST COAST FOREST","Oregon & Northern California Coastal","California North Coast","temperate coastal rivers","Temperate Conifer Forests","California Region","Klamath-Northern California Coastal","Pacific","Pacific","freshwater","stream","stream","surfacewater","stream/river","grabsample",14.8,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"40","hvtepawqx","batchf_164864","2017-06-28","ca","Pacific","MARINE WEST COAST FOREST","MARINE WEST COAST FOREST","Oregon & Northern California Coastal","California North Coast","temperate coastal rivers","Temperate Conifer Forests","California Region","Klamath-Northern California Coastal","Pacific","Pacific","freshwater","stream","stream","surfacewater","stream/river","grabsample",29.2,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"41","hvtepawqx","batchf_164867","2017-07-05","ca","Pacific","MARINE WEST COAST FOREST","MARINE WEST COAST FOREST","Oregon & Northern California Coastal","California North Coast","temperate coastal rivers","Temperate Conifer Forests","California Region","Klamath-Northern California Coastal","Pacific","Pacific","freshwater","stream","stream","surfacewater","stream/river","grabsample",12,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"42","hvtepawqx","batchf_164859","2017-07-26","ca","Pacific","MARINE WEST COAST FOREST","MARINE WEST COAST FOREST","Oregon & Northern California Coastal","California North Coast","temperate coastal rivers","Temperate Conifer Forests","California Region","Klamath-Northern California Coastal","Pacific","Pacific","freshwater","stream","stream","surfacewater","stream/river","grabsample",7.4,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"43","hvtepawqx","batchf_164869","2017-07-12","ca","Pacific","MARINE WEST COAST FOREST","MARINE WEST COAST FOREST","Oregon & Northern California Coastal","California North Coast","temperate coastal rivers","Temperate Conifer Forests","California Region","Klamath-Northern California Coastal","Pacific","Pacific","freshwater","stream","stream","surfacewater","stream/river","grabsample",142.1,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"44","hvtepawqx","batchf_164862","2017-08-08","ca","Pacific","MARINE WEST COAST FOREST","MARINE WEST COAST FOREST","Oregon & Northern California Coastal","California North Coast","temperate coastal rivers","Temperate Conifer Forests","California Region","Klamath-Northern California Coastal","Pacific","Pacific","freshwater","stream","stream","surfacewater","stream/river","grabsample",7.5,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"45","hvtepawqx","batchf_164865","2017-09-19","ca","Pacific","MARINE WEST COAST FOREST","MARINE WEST COAST FOREST","Oregon & Northern California Coastal","California North Coast","temperate coastal rivers","Temperate Conifer Forests","California Region","Klamath-Northern California Coastal","Pacific","Pacific","freshwater","stream","stream","surfacewater","stream/river","grabsample",142.1,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"46","hvtepawqx","batchf_164863","2017-08-23","ca","Pacific","MARINE WEST COAST FOREST","MARINE WEST COAST FOREST","Oregon & Northern California Coastal","California North Coast","temperate coastal rivers","Temperate Conifer Forests","California Region","Klamath-Northern California Coastal","Pacific","Pacific","freshwater","stream","stream","surfacewater","stream/river","grabsample",18.9,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"47","hvtepawqx","batchf_164861","2017-08-16","ca","Pacific","MARINE WEST COAST FOREST","MARINE WEST COAST FOREST","Oregon & Northern California Coastal","California North Coast","temperate coastal rivers","Temperate Conifer Forests","California Region","Klamath-Northern California Coastal","Pacific","Pacific","freshwater","stream","stream","surfacewater","stream/river","grabsample",29.5,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"48","hvtepawqx","batchf_164860","2017-09-05","ca","Pacific","MARINE WEST COAST FOREST","MARINE WEST COAST FOREST","Oregon & Northern California Coastal","California North Coast","temperate coastal rivers","Temperate Conifer Forests","California Region","Klamath-Northern California Coastal","Pacific","Pacific","freshwater","stream","stream","surfacewater","stream/river","grabsample",9.7,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"49","hvtepawqx","batchf_164970","2017-07-26","ca","Pacific","MARINE WEST COAST FOREST","MARINE WEST COAST FOREST","Oregon & Northern California Coastal","California North Coast","temperate coastal rivers","Temperate Conifer Forests","California Region","Klamath-Northern California Coastal","Pacific","Pacific","freshwater","stream","stream","surfacewater","stream/river","grabsample",32.3,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"50","hvtepawqx","batchf_164969","2017-07-12","ca","Pacific","MARINE WEST COAST FOREST","MARINE WEST COAST FOREST","Oregon & Northern California Coastal","California North Coast","temperate coastal rivers","Temperate Conifer Forests","California Region","Klamath-Northern California Coastal","Pacific","Pacific","freshwater","stream","stream","surfacewater","stream/river","grabsample",73.8,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"51","hvtepawqx","batchf_164975","2017-08-16","ca","Pacific","MARINE WEST COAST FOREST","MARINE WEST COAST FOREST","Oregon & Northern California Coastal","California North Coast","temperate coastal rivers","Temperate Conifer Forests","California Region","Klamath-Northern California Coastal","Pacific","Pacific","freshwater","stream","stream","surfacewater","stream/river","grabsample",48,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"52","hvtepawqx","batchf_164977","2017-09-19","ca","Pacific","MARINE WEST COAST FOREST","MARINE WEST COAST FOREST","Oregon & Northern California Coastal","California North Coast","temperate coastal rivers","Temperate Conifer Forests","California Region","Klamath-Northern California Coastal","Pacific","Pacific","freshwater","stream","stream","surfacewater","stream/river","grabsample",72.3,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"53","hvtepawqx","batchf_164974","2017-07-19","ca","Pacific","MARINE WEST COAST FOREST","MARINE WEST COAST FOREST","Oregon & Northern California Coastal","California North Coast","temperate coastal rivers","Temperate Conifer Forests","California Region","Klamath-Northern California Coastal","Pacific","Pacific","freshwater","stream","stream","surfacewater","stream/river","grabsample",43.5,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"54","hvtepawqx","batchf_164968","2017-07-05","ca","Pacific","MARINE WEST COAST FOREST","MARINE WEST COAST FOREST","Oregon & Northern California Coastal","California North Coast","temperate coastal rivers","Temperate Conifer Forests","California Region","Klamath-Northern California Coastal","Pacific","Pacific","freshwater","stream","stream","surfacewater","stream/river","grabsample",20.3,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"55","hvtepawqx","batchf_164971","2017-09-05","ca","Pacific","MARINE WEST COAST FOREST","MARINE WEST COAST FOREST","Oregon & Northern California Coastal","California North Coast","temperate coastal rivers","Temperate Conifer Forests","California Region","Klamath-Northern California Coastal","Pacific","Pacific","freshwater","stream","stream","surfacewater","stream/river","grabsample",48,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"56","hvtepawqx","batchf_164967","2017-06-28","ca","Pacific","MARINE WEST COAST FOREST","MARINE WEST COAST FOREST","Oregon & Northern California Coastal","California North Coast","temperate coastal rivers","Temperate Conifer Forests","California Region","Klamath-Northern California Coastal","Pacific","Pacific","freshwater","stream","stream","surfacewater","stream/river","grabsample",20.1,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"57","hvtepawqx","batchf_164966","2017-06-21","ca","Pacific","MARINE WEST COAST FOREST","MARINE WEST COAST FOREST","Oregon & Northern California Coastal","California North Coast","temperate coastal rivers","Temperate Conifer Forests","California Region","Klamath-Northern California Coastal","Pacific","Pacific","freshwater","stream","stream","surfacewater","stream/river","grabsample",8.5,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"58","hvtepawqx","batchf_164976","2017-08-01","ca","Pacific","MARINE WEST COAST FOREST","MARINE WEST COAST FOREST","Oregon & Northern California Coastal","California North Coast","temperate coastal rivers","Temperate Conifer Forests","California Region","Klamath-Northern California Coastal","Pacific","Pacific","freshwater","stream","stream","surfacewater","stream/river","grabsample",117.8,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"59","hvtepawqx","batchf_164972","2017-08-08","ca","Pacific","MARINE WEST COAST FOREST","MARINE WEST COAST FOREST","Oregon & Northern California Coastal","California North Coast","temperate coastal rivers","Temperate Conifer Forests","California Region","Klamath-Northern California Coastal","Pacific","Pacific","freshwater","stream","stream","surfacewater","stream/river","grabsample",66.3,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"60","hvtepawqx","batchf_164973","2017-08-23","ca","Pacific","MARINE WEST COAST FOREST","MARINE WEST COAST FOREST","Oregon & Northern California Coastal","California North Coast","temperate coastal rivers","Temperate Conifer Forests","California Region","Klamath-Northern California Coastal","Pacific","Pacific","freshwater","stream","stream","surfacewater","stream/river","grabsample",32.3,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"61","hvtepawqx","batchf_164807","2017-07-19","ca","Pacific","MARINE WEST COAST FOREST","MARINE WEST COAST FOREST","Oregon & Northern California Coastal","California North Coast","temperate coastal rivers","Temperate Conifer Forests","California Region","Klamath-Northern California Coastal","Pacific","Pacific","freshwater","stream","stream","surfacewater","stream/river","grabsample",65.7,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"62","hvtepawqx","batchf_164806","2017-09-05","ca","Pacific","MARINE WEST COAST FOREST","MARINE WEST COAST FOREST","Oregon & Northern California Coastal","California North Coast","temperate coastal rivers","Temperate Conifer Forests","California Region","Klamath-Northern California Coastal","Pacific","Pacific","freshwater","stream","stream","surfacewater","stream/river","grabsample",38.4,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"63","hvtepawqx","batchf_164810","2017-08-08","ca","Pacific","MARINE WEST COAST FOREST","MARINE WEST COAST FOREST","Oregon & Northern California Coastal","California North Coast","temperate coastal rivers","Temperate Conifer Forests","California Region","Klamath-Northern California Coastal","Pacific","Pacific","freshwater","stream","stream","surfacewater","stream/river","grabsample",22.8,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"64","hvtepawqx","batchf_164814","2017-07-26","ca","Pacific","MARINE WEST COAST FOREST","MARINE WEST COAST FOREST","Oregon & Northern California Coastal","California North Coast","temperate coastal rivers","Temperate Conifer Forests","California Region","Klamath-Northern California Coastal","Pacific","Pacific","freshwater","stream","stream","surfacewater","stream/river","grabsample",88.2,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"65","hvtepawqx","batchf_164808","2017-07-05","ca","Pacific","MARINE WEST COAST FOREST","MARINE WEST COAST FOREST","Oregon & Northern California Coastal","California North Coast","temperate coastal rivers","Temperate Conifer Forests","California Region","Klamath-Northern California Coastal","Pacific","Pacific","freshwater","stream","stream","surfacewater","stream/river","grabsample",4.1,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"66","hvtepawqx","batchf_164804","2017-06-28","ca","Pacific","MARINE WEST COAST FOREST","MARINE WEST COAST FOREST","Oregon & Northern California Coastal","California North Coast","temperate coastal rivers","Temperate Conifer Forests","California Region","Klamath-Northern California Coastal","Pacific","Pacific","freshwater","stream","stream","surfacewater","stream/river","grabsample",8.6,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"67","hvtepawqx","batchf_164815","2017-08-01","ca","Pacific","MARINE WEST COAST FOREST","MARINE WEST COAST FOREST","Oregon & Northern California Coastal","California North Coast","temperate coastal rivers","Temperate Conifer Forests","California Region","Klamath-Northern California Coastal","Pacific","Pacific","freshwater","stream","stream","surfacewater","stream/river","grabsample",127.4,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"68","hvtepawqx","batchf_164813","2017-07-12","ca","Pacific","MARINE WEST COAST FOREST","MARINE WEST COAST FOREST","Oregon & Northern California Coastal","California North Coast","temperate coastal rivers","Temperate Conifer Forests","California Region","Klamath-Northern California Coastal","Pacific","Pacific","freshwater","stream","stream","surfacewater","stream/river","grabsample",4.1,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"69","hvtepawqx","batchf_164805","2017-06-21","ca","Pacific","MARINE WEST COAST FOREST","MARINE WEST COAST FOREST","Oregon & Northern California Coastal","California North Coast","temperate coastal rivers","Temperate Conifer Forests","California Region","Klamath-Northern California Coastal","Pacific","Pacific","freshwater","stream","stream","surfacewater","stream/river","grabsample",9.8,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"70","hvtepawqx","batchf_164809","2017-08-16","ca","Pacific","MARINE WEST COAST FOREST","MARINE WEST COAST FOREST","Oregon & Northern California Coastal","California North Coast","temperate coastal rivers","Temperate Conifer Forests","California Region","Klamath-Northern California Coastal","Pacific","Pacific","freshwater","stream","stream","surfacewater","stream/river","grabsample",45.7,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
