"","study_sh","scri_sample_id","date","state","cens.region","epa.l1.ecoreg","epa.l2.ecoreg","tnc.h2o.reg","tnc.terr.reg","h2o.habtat","terrhabtat","huc2.nm.nhd","usda.regions","epa.regions","fresh","water_type","water_typem","water_typeg","water_typec","sample_type","sample_filter","ec","ec_methodf","ec_methodm","ec_methodc","tc","tc_methodf","tc_methodm","tc_methodc"
"60","bmicwqx","mi_8836","2008-05-21","mi","East North Central","NORTHERN FORESTS","MIXED WOOD SHIELD","Laurentian Great Lakes","Great Lakes","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Great Lakes","Midwest","freshwater","greatlakes","greatlakes","surfacewater","pond/lake","grabsample","na",10.8,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"61","bmicwqx","mi_9712","2008-06-25","mi","East North Central","NORTHERN FORESTS","MIXED WOOD SHIELD","Laurentian Great Lakes","Great Lakes","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Great Lakes","Midwest","freshwater","greatlakes","greatlakes","surfacewater","pond/lake","grabsample","na",9.8,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"62","bmicwqx","mi_9726","2008-08-06","mi","East North Central","NORTHERN FORESTS","MIXED WOOD SHIELD","Laurentian Great Lakes","Great Lakes","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Great Lakes","Midwest","freshwater","greatlakes","greatlakes","surfacewater","pond/lake","grabsample","na",38.3,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"63","bmicwqx","mi_9051","2008-08-06","mi","East North Central","NORTHERN FORESTS","MIXED WOOD SHIELD","Laurentian Great Lakes","Great Lakes","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Great Lakes","Midwest","freshwater","greatlakes","greatlakes","surfacewater","pond/lake","grabsample","na",51.2,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"64","bmicwqx","mi_8872","2008-05-21","mi","East North Central","NORTHERN FORESTS","MIXED WOOD SHIELD","Laurentian Great Lakes","Great Lakes","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Great Lakes","Midwest","freshwater","greatlakes","greatlakes","surfacewater","pond/lake","grabsample","na",8.4,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"65","bmicwqx","mi_9015","2008-08-20","mi","East North Central","NORTHERN FORESTS","MIXED WOOD SHIELD","Laurentian Great Lakes","Great Lakes","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Great Lakes","Midwest","freshwater","greatlakes","greatlakes","surfacewater","pond/lake","grabsample","na",9.7,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"66","bmicwqx","mi_9276","2008-06-04","mi","East North Central","NORTHERN FORESTS","MIXED WOOD SHIELD","Laurentian Great Lakes","Great Lakes","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Great Lakes","Midwest","freshwater","greatlakes","greatlakes","surfacewater","pond/lake","grabsample","na",1,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"67","bmicwqx","mi_8924","2008-08-27","mi","East North Central","NORTHERN FORESTS","MIXED WOOD SHIELD","Laurentian Great Lakes","Great Lakes","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Great Lakes","Midwest","freshwater","greatlakes","greatlakes","surfacewater","pond/lake","grabsample","na",10.7,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"68","bmicwqx","mi_8991","2008-06-11","mi","East North Central","NORTHERN FORESTS","MIXED WOOD SHIELD","Laurentian Great Lakes","Great Lakes","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Great Lakes","Midwest","freshwater","greatlakes","greatlakes","surfacewater","pond/lake","grabsample","na",8.4,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"69","bmicwqx","mi_9285","2008-07-23","mi","East North Central","NORTHERN FORESTS","MIXED WOOD SHIELD","Laurentian Great Lakes","Great Lakes","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Great Lakes","Midwest","freshwater","greatlakes","greatlakes","surfacewater","pond/lake","grabsample","na",12,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"70","bmicwqx","mi_9146","2008-06-18","mi","East North Central","NORTHERN FORESTS","MIXED WOOD SHIELD","Laurentian Great Lakes","Great Lakes","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Great Lakes","Midwest","freshwater","greatlakes","greatlakes","surfacewater","pond/lake","grabsample","na",10.8,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"71","bmicwqx","mi_8936","2008-07-09","mi","East North Central","NORTHERN FORESTS","MIXED WOOD SHIELD","Laurentian Great Lakes","Great Lakes","large lakes","Temperate Broadleaf and Mixed Forests","Great Lakes Region","Great Lakes","Midwest","freshwater","greatlakes","greatlakes","surfacewater","pond/lake","grabsample","na",9.7,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
