"","study_sh","scri_sample_id","date","state","cens.region","epa.l1.ecoreg","epa.l2.ecoreg","tnc.h2o.reg","tnc.terr.reg","h2o.habtat","terrhabtat","huc2.nm.nhd","usda.regions","epa.regions","fresh","water_type","water_typem","water_typeg","water_typec","sample_type","sample_filter","ec","ec_methodf","ec_methodm","ec_methodc","entero","entero_methodf","entero_methodm","entero_methodc","fc","fc_methodf","fc_methodm","fc_methodc","tc","tc_methodf","tc_methodm","tc_methodc"
"39","ceden","cede_260","2018-03-02","ca","Pacific","MEDITERRANEAN CALIFORNIA","MEDITERRANEAN CALIFORNIA","Southern California Coastal - Baja California","California South Coast","xeric freshwaters and endorheic (closed) basins","Mediterranean Forests, Woodlands and Scrub","California Region","Pacific","Pacific","freshwater","river","river","surfacewater","stream/river","grabsample","none",2282,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","ceden","cede_203","2018-11-29","ca","Pacific","MEDITERRANEAN CALIFORNIA","MEDITERRANEAN CALIFORNIA","Southern California Coastal - Baja California","California South Coast","xeric freshwaters and endorheic (closed) basins","Mediterranean Forests, Woodlands and Scrub","California Region","Pacific","Pacific","freshwater","river","river","surfacewater","stream/river","grabsample","none",8164,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","ceden","ceden_117","2018-08-20","ca","Pacific","MEDITERRANEAN CALIFORNIA","MEDITERRANEAN CALIFORNIA","Southern California Coastal - Baja California","California South Coast","xeric freshwaters and endorheic (closed) basins","Mediterranean Forests, Woodlands and Scrub","California Region","Pacific","Pacific","freshwater","stream","stream","surfacewater","stream/river","grabsample","none",10,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","ceden","ceden_107","2018-08-20","ca","Pacific","MEDITERRANEAN CALIFORNIA","MEDITERRANEAN CALIFORNIA","Southern California Coastal - Baja California","California South Coast","xeric freshwaters and endorheic (closed) basins","Mediterranean Forests, Woodlands and Scrub","California Region","Pacific","Pacific","freshwater","stream","stream","surfacewater","stream/river","grabsample","none",630,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","ceden","ceden_113","8/20/2019","ca","Pacific","MEDITERRANEAN CALIFORNIA","MEDITERRANEAN CALIFORNIA","Southern California Coastal - Baja California","California South Coast","xeric freshwaters and endorheic (closed) basins","Mediterranean Forests, Woodlands and Scrub","California Region","Pacific","Pacific","freshwater","stream","stream","surfacewater","stream/river","grabsample","none",15531,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","ceden","cede_175","2019-01-05","ca","Pacific","MEDITERRANEAN CALIFORNIA","MEDITERRANEAN CALIFORNIA","Southern California Coastal - Baja California","California South Coast","xeric freshwaters and endorheic (closed) basins","Mediterranean Forests, Woodlands and Scrub","California Region","Pacific","Pacific","freshwater","river","river","surfacewater","stream/river","grabsample","none",7701,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","ceden","cede_236","2009-10-13","ca","Pacific","MEDITERRANEAN CALIFORNIA","MEDITERRANEAN CALIFORNIA","Southern California Coastal - Baja California","California South Coast","xeric freshwaters and endorheic (closed) basins","Mediterranean Forests, Woodlands and Scrub","California Region","Pacific","Pacific","freshwater","river","river","surfacewater","stream/river","grabsample","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,770100,"idexxquantitray","mpn","mpn"
"46","ceden","cede_215","2010-06-28","ca","Pacific","MEDITERRANEAN CALIFORNIA","MEDITERRANEAN CALIFORNIA","Southern California Coastal - Baja California","California South Coast","xeric freshwaters and endorheic (closed) basins","Mediterranean Forests, Woodlands and Scrub","California Region","Pacific","Pacific","freshwater","stream","stream","surfacewater","stream/river","grabsample","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9804,"idexxquantitray","mpn","mpn"
"47","ceden","cede_238","2010-03-17","ca","Pacific","MEDITERRANEAN CALIFORNIA","MEDITERRANEAN CALIFORNIA","Southern California Coastal - Baja California","California South Coast","xeric freshwaters and endorheic (closed) basins","Mediterranean Forests, Woodlands and Scrub","California Region","Pacific","Pacific","freshwater","river","river","surfacewater","stream/river","grabsample","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2359,"idexxquantitray","mpn","mpn"
"48","ceden","cede_245","2010-02-05","ca","Pacific","MEDITERRANEAN CALIFORNIA","MEDITERRANEAN CALIFORNIA","Southern California Coastal - Baja California","California South Coast","xeric freshwaters and endorheic (closed) basins","Mediterranean Forests, Woodlands and Scrub","California Region","Pacific","Pacific","freshwater","river","river","surfacewater","stream/river","grabsample","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,387300,"idexxquantitray","mpn","mpn"
"49","ceden","ceden_113","8/18/2011","ca","Pacific","MEDITERRANEAN CALIFORNIA","MEDITERRANEAN CALIFORNIA","Southern California Coastal - Baja California","California South Coast","xeric freshwaters and endorheic (closed) basins","Mediterranean Forests, Woodlands and Scrub","California Region","Pacific","Pacific","freshwater","stream","stream","surfacewater","stream/river","grabsample","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72700,"idexxquantitray","mpn","mpn"
"50","ceden","cede_243","2011-10-05","ca","Pacific","MEDITERRANEAN CALIFORNIA","MEDITERRANEAN CALIFORNIA","Southern California Coastal - Baja California","California South Coast","xeric freshwaters and endorheic (closed) basins","Mediterranean Forests, Woodlands and Scrub","California Region","Pacific","Pacific","freshwater","river","river","surfacewater","stream/river","grabsample","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,261300,"idexxquantitray","mpn","mpn"
"51","ceden","ceden_120","2011-08-17","ca","Pacific","MEDITERRANEAN CALIFORNIA","MEDITERRANEAN CALIFORNIA","Southern California Coastal - Baja California","California South Coast","xeric freshwaters and endorheic (closed) basins","Mediterranean Forests, Woodlands and Scrub","California Region","Pacific","Pacific","freshwater","river","river","surfacewater","stream/river","grabsample","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77010,"idexxquantitray","mpn","mpn"
"52","ceden","cede_202","2011-04-28","ca","Pacific","MEDITERRANEAN CALIFORNIA","MEDITERRANEAN CALIFORNIA","Southern California Coastal - Baja California","California South Coast","xeric freshwaters and endorheic (closed) basins","Mediterranean Forests, Woodlands and Scrub","California Region","Pacific","Pacific","freshwater","river","river","surfacewater","stream/river","grabsample","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155310,"idexxquantitray","mpn","mpn"
"53","ceden","cede_216","2012-05-24","ca","Pacific","MEDITERRANEAN CALIFORNIA","MEDITERRANEAN CALIFORNIA","Southern California Coastal - Baja California","California South Coast","xeric freshwaters and endorheic (closed) basins","Mediterranean Forests, Woodlands and Scrub","California Region","Pacific","Pacific","freshwater","stream","stream","surfacewater","stream/river","grabsample","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9804,"idexxquantitray","mpn","mpn"
"54","ceden","cede_217","2012-08-16","ca","Pacific","MEDITERRANEAN CALIFORNIA","MEDITERRANEAN CALIFORNIA","Southern California Coastal - Baja California","California South Coast","xeric freshwaters and endorheic (closed) basins","Mediterranean Forests, Woodlands and Scrub","California Region","Pacific","Pacific","freshwater","stream","stream","surfacewater","stream/river","grabsample","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24192,"idexxquantitray","mpn","mpn"
"55","ceden","cede_247","2012-11-17","ca","Pacific","MEDITERRANEAN CALIFORNIA","MEDITERRANEAN CALIFORNIA","Southern California Coastal - Baja California","California South Coast","xeric freshwaters and endorheic (closed) basins","Mediterranean Forests, Woodlands and Scrub","California Region","Pacific","Pacific","freshwater","river","river","surfacewater","stream/river","grabsample","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,770100,"idexxquantitray","mpn","mpn"
"56","ceden","cede_204","2012-01-21","ca","Pacific","MEDITERRANEAN CALIFORNIA","MEDITERRANEAN CALIFORNIA","Southern California Coastal - Baja California","California South Coast","xeric freshwaters and endorheic (closed) basins","Mediterranean Forests, Woodlands and Scrub","California Region","Pacific","Pacific","freshwater","river","river","surfacewater","stream/river","grabsample","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,325500,"idexxquantitray","mpn","mpn"
"57","ceden","cede_213","2013-03-07","ca","Pacific","MEDITERRANEAN CALIFORNIA","MEDITERRANEAN CALIFORNIA","Southern California Coastal - Baja California","California South Coast","xeric freshwaters and endorheic (closed) basins","Mediterranean Forests, Woodlands and Scrub","California Region","Pacific","Pacific","freshwater","stream","stream","surfacewater","stream/river","grabsample","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4884,"idexxquantitray","mpn","mpn"
"58","ceden","cede_219","2013-02-19","ca","Pacific","MEDITERRANEAN CALIFORNIA","MEDITERRANEAN CALIFORNIA","Southern California Coastal - Baja California","California South Coast","xeric freshwaters and endorheic (closed) basins","Mediterranean Forests, Woodlands and Scrub","California Region","Pacific","Pacific","freshwater","stream","stream","surfacewater","stream/river","grabsample","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60900,"idexxquantitray","mpn","mpn"
"59","ceden","cede_246","2013-02-19","ca","Pacific","MEDITERRANEAN CALIFORNIA","MEDITERRANEAN CALIFORNIA","Southern California Coastal - Baja California","California South Coast","xeric freshwaters and endorheic (closed) basins","Mediterranean Forests, Woodlands and Scrub","California Region","Pacific","Pacific","freshwater","river","river","surfacewater","stream/river","grabsample","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,648800,"idexxquantitray","mpn","mpn"
"60","ceden","cede_200","2013-08-13","ca","Pacific","MEDITERRANEAN CALIFORNIA","MEDITERRANEAN CALIFORNIA","Southern California Coastal - Baja California","California South Coast","xeric freshwaters and endorheic (closed) basins","Mediterranean Forests, Woodlands and Scrub","California Region","Pacific","Pacific","freshwater","river","river","surfacewater","stream/river","grabsample","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6131,"idexxquantitray","mpn","mpn"
