"","study_sh","scri_sample_id","date","state","cens.region","epa.l1.ecoreg","epa.l2.ecoreg","tnc.h2o.reg","tnc.terr.reg","h2o.habtat","terrhabtat","huc2.nm.nhd","huc4.nm.nhd","usda.regions","epa.regions","fresh","water_type","water_typem","water_typeg","water_typec","ec","ec_methodf","ec_methodm","ec_methodc","fc","fc_methodf","fc_methodm","fc_methodc","tc","tc_methodf","tc_methodm","tc_methodc"
"11","oglalast","batch_141628","2009-09-21","sd","West North Central","GREAT PLAINS","WEST-CENTRAL SEMIARID PRAIRIES","Upper Missouri","Central Mixed-Grass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Missouri Region","Missouri-White","Northern Plains","Western Great Plains","freshwater","river","river","surfacewater","stream/river",1740,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"12","oglalast","batch_141625","2009-08-19","sd","West North Central","GREAT PLAINS","WEST-CENTRAL SEMIARID PRAIRIES","Upper Missouri","Central Mixed-Grass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Missouri Region","Missouri-White","Northern Plains","Western Great Plains","freshwater","river","river","surfacewater","stream/river",219,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"13","oglalast","batch_141629","2009-05-26","sd","West North Central","GREAT PLAINS","WEST-CENTRAL SEMIARID PRAIRIES","Upper Missouri","Central Mixed-Grass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Missouri Region","Missouri-White","Northern Plains","Western Great Plains","freshwater","river","river","surfacewater","stream/river",3630,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"14","oglalast","batch_141623","2009-09-21","sd","West North Central","GREAT PLAINS","WEST-CENTRAL SEMIARID PRAIRIES","Upper Missouri","Central Mixed-Grass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Missouri Region","Missouri-White","Northern Plains","Western Great Plains","freshwater","river","river","surfacewater","stream/river",689,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"15","oglalast","batch_141622","2009-05-26","sd","West North Central","GREAT PLAINS","WEST-CENTRAL SEMIARID PRAIRIES","Upper Missouri","Central Mixed-Grass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Missouri Region","Missouri-White","Northern Plains","Western Great Plains","freshwater","river","river","surfacewater","stream/river",659,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"16","oglalast","batch_141621","2009-08-19","sd","West North Central","GREAT PLAINS","WEST-CENTRAL SEMIARID PRAIRIES","Upper Missouri","Central Mixed-Grass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Missouri Region","Missouri-White","Northern Plains","Western Great Plains","freshwater","river","river","surfacewater","stream/river",378,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"17","oglalast","batch_141624","2009-06-29","sd","West North Central","GREAT PLAINS","WEST-CENTRAL SEMIARID PRAIRIES","Upper Missouri","Central Mixed-Grass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Missouri Region","Missouri-White","Northern Plains","Western Great Plains","freshwater","river","river","surfacewater","stream/river",792,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"18","oglalast","batch_141620","2009-07-21","sd","West North Central","GREAT PLAINS","WEST-CENTRAL SEMIARID PRAIRIES","Upper Missouri","Central Mixed-Grass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Missouri Region","Missouri-White","Northern Plains","Western Great Plains","freshwater","river","river","surfacewater","stream/river",378,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"19","oglalast","batch_141615","2009-09-21","sd","West North Central","GREAT PLAINS","WEST-CENTRAL SEMIARID PRAIRIES","Upper Missouri","Central Mixed-Grass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Missouri Region","Missouri-White","Northern Plains","Western Great Plains","freshwater","river","river","surfacewater","stream/river",135,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"20","oglalast","batch_141619","2009-08-19","sd","West North Central","GREAT PLAINS","WEST-CENTRAL SEMIARID PRAIRIES","Upper Missouri","Central Mixed-Grass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Missouri Region","Missouri-White","Northern Plains","Western Great Plains","freshwater","river","river","surfacewater","stream/river",689,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"21","oglalast","batch_141618","2009-06-29","sd","West North Central","GREAT PLAINS","WEST-CENTRAL SEMIARID PRAIRIES","Upper Missouri","Central Mixed-Grass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Missouri Region","Missouri-White","Northern Plains","Western Great Plains","freshwater","river","river","surfacewater","stream/river",659,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"22","oglalast","batch_141616","2009-05-26","sd","West North Central","GREAT PLAINS","WEST-CENTRAL SEMIARID PRAIRIES","Upper Missouri","Central Mixed-Grass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Missouri Region","Missouri-White","Northern Plains","Western Great Plains","freshwater","river","river","surfacewater","stream/river",201,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"23","oglalast","batch_141617","2009-07-21","sd","West North Central","GREAT PLAINS","WEST-CENTRAL SEMIARID PRAIRIES","Upper Missouri","Central Mixed-Grass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Missouri Region","Missouri-White","Northern Plains","Western Great Plains","freshwater","river","river","surfacewater","stream/river",260,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"24","oglalast","batch_141612","2009-08-19","sd","West North Central","GREAT PLAINS","WEST-CENTRAL SEMIARID PRAIRIES","Upper Missouri","Central Mixed-Grass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Missouri Region","Missouri-White","Northern Plains","Western Great Plains","freshwater","river","river","surfacewater","stream/river",361,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"25","oglalast","batch_141614","2009-06-29","sd","West North Central","GREAT PLAINS","WEST-CENTRAL SEMIARID PRAIRIES","Upper Missouri","Central Mixed-Grass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Missouri Region","Missouri-White","Northern Plains","Western Great Plains","freshwater","river","river","surfacewater","stream/river",457,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"26","oglalast","batch_141610","2009-09-21","sd","West North Central","GREAT PLAINS","WEST-CENTRAL SEMIARID PRAIRIES","Upper Missouri","Central Mixed-Grass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Missouri Region","Missouri-White","Northern Plains","Western Great Plains","freshwater","river","river","surfacewater","stream/river",201,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"27","oglalast","batch_141611","2009-07-21","sd","West North Central","GREAT PLAINS","WEST-CENTRAL SEMIARID PRAIRIES","Upper Missouri","Central Mixed-Grass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Missouri Region","Missouri-White","Northern Plains","Western Great Plains","freshwater","river","river","surfacewater","stream/river",260,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"28","oglalast","batch_141613","2009-05-26","sd","West North Central","GREAT PLAINS","WEST-CENTRAL SEMIARID PRAIRIES","Upper Missouri","Central Mixed-Grass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Missouri Region","Missouri-White","Northern Plains","Western Great Plains","freshwater","river","river","surfacewater","stream/river",416,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"29","oglalast","batch_144724","2009-09-01","sd","West North Central","GREAT PLAINS","WEST-CENTRAL SEMIARID PRAIRIES","Upper Missouri","Central Mixed-Grass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Missouri Region","Missouri-White","Northern Plains","Western Great Plains","freshwater","stream","stream","surfacewater","stream/river",629,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"30","oglalast","batch_144729","2009-06-21","sd","West North Central","GREAT PLAINS","WEST-CENTRAL SEMIARID PRAIRIES","Upper Missouri","Central Mixed-Grass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Missouri Region","Missouri-White","Northern Plains","Western Great Plains","freshwater","stream","stream","surfacewater","stream/river",957,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"31","oglalast","batch_144723","2009-08-17","sd","West North Central","GREAT PLAINS","WEST-CENTRAL SEMIARID PRAIRIES","Upper Missouri","Central Mixed-Grass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Missouri Region","Missouri-White","Northern Plains","Western Great Plains","freshwater","stream","stream","surfacewater","stream/river",629,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"32","oglalast","batch_144722","2009-05-19","sd","West North Central","GREAT PLAINS","WEST-CENTRAL SEMIARID PRAIRIES","Upper Missouri","Central Mixed-Grass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Missouri Region","Missouri-White","Northern Plains","Western Great Plains","freshwater","stream","stream","surfacewater","stream/river",575,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"33","oglalast","batch_144727","2009-07-20","sd","West North Central","GREAT PLAINS","WEST-CENTRAL SEMIARID PRAIRIES","Upper Missouri","Central Mixed-Grass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Missouri Region","Missouri-White","Northern Plains","Western Great Plains","freshwater","stream","stream","surfacewater","stream/river",830,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"34","oglalast","batch_143616","2010-05-17","sd","West North Central","GREAT PLAINS","WEST-CENTRAL SEMIARID PRAIRIES","Upper Missouri","Central Mixed-Grass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Missouri Region","Missouri-White","Northern Plains","Western Great Plains","freshwater","stream","stream","surfacewater","stream/river",20,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"35","oglalast","batch_143617","2010-07-20","sd","West North Central","GREAT PLAINS","WEST-CENTRAL SEMIARID PRAIRIES","Upper Missouri","Central Mixed-Grass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Missouri Region","Missouri-White","Northern Plains","Western Great Plains","freshwater","stream","stream","surfacewater","stream/river",38,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"36","oglalast","batch_143618","2010-06-08","sd","West North Central","GREAT PLAINS","WEST-CENTRAL SEMIARID PRAIRIES","Upper Missouri","Central Mixed-Grass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Missouri Region","Missouri-White","Northern Plains","Western Great Plains","freshwater","stream","stream","surfacewater","stream/river",50,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"37","oglalast","batch_143615","2010-04-27","sd","West North Central","GREAT PLAINS","WEST-CENTRAL SEMIARID PRAIRIES","Upper Missouri","Central Mixed-Grass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Missouri Region","Missouri-White","Northern Plains","Western Great Plains","freshwater","stream","stream","surfacewater","stream/river",4,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"38","oglalast","batch_99675","2012-08-20","sd","West North Central","GREAT PLAINS","WEST-CENTRAL SEMIARID PRAIRIES","Upper Missouri","Central Mixed-Grass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Missouri Region","Missouri-White","Northern Plains","Western Great Plains","freshwater","stream","stream","surfacewater","stream/river",570,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"39","oglalast","batch_99671","2012-06-05","sd","West North Central","GREAT PLAINS","WEST-CENTRAL SEMIARID PRAIRIES","Upper Missouri","Central Mixed-Grass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Missouri Region","Missouri-White","Northern Plains","Western Great Plains","freshwater","stream","stream","surfacewater","stream/river",133,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"40","oglalast","batch_99673","2012-10-15","sd","West North Central","GREAT PLAINS","WEST-CENTRAL SEMIARID PRAIRIES","Upper Missouri","Central Mixed-Grass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Missouri Region","Missouri-White","Northern Plains","Western Great Plains","freshwater","stream","stream","surfacewater","stream/river",411,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"41","oglalast","batch_99670","2012-05-07","sd","West North Central","GREAT PLAINS","WEST-CENTRAL SEMIARID PRAIRIES","Upper Missouri","Central Mixed-Grass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Missouri Region","Missouri-White","Northern Plains","Western Great Plains","freshwater","stream","stream","surfacewater","stream/river",55,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"42","oglalast","batch_99682","2012-09-19","sd","West North Central","GREAT PLAINS","WEST-CENTRAL SEMIARID PRAIRIES","Upper Missouri","Central Mixed-Grass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Missouri Region","Missouri-White","Northern Plains","Western Great Plains","freshwater","stream","stream","surfacewater","stream/river",1550,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"43","oglalast","batch_99678","2012-07-17","sd","West North Central","GREAT PLAINS","WEST-CENTRAL SEMIARID PRAIRIES","Upper Missouri","Central Mixed-Grass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Missouri Region","Missouri-White","Northern Plains","Western Great Plains","freshwater","stream","stream","surfacewater","stream/river",690,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"44","oglalast","batch_99665","2012-07-24","sd","West North Central","GREAT PLAINS","WEST-CENTRAL SEMIARID PRAIRIES","Upper Missouri","Central Mixed-Grass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Missouri Region","Missouri-White","Northern Plains","Western Great Plains","freshwater","stream","stream","surfacewater","stream/river",816,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"45","oglalast","batch_99664","2012-09-19","sd","West North Central","GREAT PLAINS","WEST-CENTRAL SEMIARID PRAIRIES","Upper Missouri","Central Mixed-Grass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Missouri Region","Missouri-White","Northern Plains","Western Great Plains","freshwater","stream","stream","surfacewater","stream/river",236,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"46","oglalast","batch_99657","2012-06-26","sd","West North Central","GREAT PLAINS","WEST-CENTRAL SEMIARID PRAIRIES","Upper Missouri","Central Mixed-Grass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Missouri Region","Missouri-White","Northern Plains","Western Great Plains","freshwater","stream","stream","surfacewater","stream/river",0,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"47","oglalast","batch_99659","2012-05-29","sd","West North Central","GREAT PLAINS","WEST-CENTRAL SEMIARID PRAIRIES","Upper Missouri","Central Mixed-Grass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Missouri Region","Missouri-White","Northern Plains","Western Great Plains","freshwater","stream","stream","surfacewater","stream/river",21,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"48","oglalast","batch_99660","2012-10-15","sd","West North Central","GREAT PLAINS","WEST-CENTRAL SEMIARID PRAIRIES","Upper Missouri","Central Mixed-Grass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Missouri Region","Missouri-White","Northern Plains","Western Great Plains","freshwater","stream","stream","surfacewater","stream/river",80,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"49","oglalast","batch_99669","2012-08-27","sd","West North Central","GREAT PLAINS","WEST-CENTRAL SEMIARID PRAIRIES","Upper Missouri","Central Mixed-Grass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Missouri Region","Missouri-White","Northern Plains","Western Great Plains","freshwater","stream","stream","surfacewater","stream/river",1730,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"50","oglalast","batch_144730","2012-08-14","sd","West North Central","GREAT PLAINS","WEST-CENTRAL SEMIARID PRAIRIES","Upper Missouri","Central Mixed-Grass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Missouri Region","Missouri-White","Northern Plains","Western Great Plains","freshwater","stream","stream","surfacewater","stream/river",1630,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"51","oglalast","batch_144717","2012-06-18","sd","West North Central","GREAT PLAINS","WEST-CENTRAL SEMIARID PRAIRIES","Upper Missouri","Central Mixed-Grass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Missouri Region","Missouri-White","Northern Plains","Western Great Plains","freshwater","stream","stream","surfacewater","stream/river",0,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"52","oglalast","batch_144720","2012-10-09","sd","West North Central","GREAT PLAINS","WEST-CENTRAL SEMIARID PRAIRIES","Upper Missouri","Central Mixed-Grass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Missouri Region","Missouri-White","Northern Plains","Western Great Plains","freshwater","stream","stream","surfacewater","stream/river",0,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"53","oglalast","batch_144719","2012-07-09","sd","West North Central","GREAT PLAINS","WEST-CENTRAL SEMIARID PRAIRIES","Upper Missouri","Central Mixed-Grass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Missouri Region","Missouri-White","Northern Plains","Western Great Plains","freshwater","stream","stream","surfacewater","stream/river",0,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"54","oglalast","batch_144718","2012-09-17","sd","West North Central","GREAT PLAINS","WEST-CENTRAL SEMIARID PRAIRIES","Upper Missouri","Central Mixed-Grass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Missouri Region","Missouri-White","Northern Plains","Western Great Plains","freshwater","stream","stream","surfacewater","stream/river",0,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"55","oglalast","batch_144725","2012-05-22","sd","West North Central","GREAT PLAINS","WEST-CENTRAL SEMIARID PRAIRIES","Upper Missouri","Central Mixed-Grass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Missouri Region","Missouri-White","Northern Plains","Western Great Plains","freshwater","stream","stream","surfacewater","stream/river",727,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"56","oglalast","batch_99679","2013-07-09","sd","West North Central","GREAT PLAINS","WEST-CENTRAL SEMIARID PRAIRIES","Upper Missouri","Central Mixed-Grass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Missouri Region","Missouri-White","Northern Plains","Western Great Plains","freshwater","stream","stream","surfacewater","stream/river",866,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"57","oglalast","batch_99680","2013-09-10","sd","West North Central","GREAT PLAINS","WEST-CENTRAL SEMIARID PRAIRIES","Upper Missouri","Central Mixed-Grass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Missouri Region","Missouri-White","Northern Plains","Western Great Plains","freshwater","stream","stream","surfacewater","stream/river",1300,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"58","oglalast","batch_99681","2013-08-12","sd","West North Central","GREAT PLAINS","WEST-CENTRAL SEMIARID PRAIRIES","Upper Missouri","Central Mixed-Grass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Missouri Region","Missouri-White","Northern Plains","Western Great Plains","freshwater","stream","stream","surfacewater","stream/river",1410,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"59","oglalast","batch_99667","2013-08-11","sd","West North Central","GREAT PLAINS","WEST-CENTRAL SEMIARID PRAIRIES","Upper Missouri","Central Mixed-Grass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Missouri Region","Missouri-White","Northern Plains","Western Great Plains","freshwater","stream","stream","surfacewater","stream/river",921,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"60","oglalast","batch_99668","2013-07-08","sd","West North Central","GREAT PLAINS","WEST-CENTRAL SEMIARID PRAIRIES","Upper Missouri","Central Mixed-Grass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Missouri Region","Missouri-White","Northern Plains","Western Great Plains","freshwater","stream","stream","surfacewater","stream/river",1050,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"61","oglalast","batch_99661","2013-09-24","sd","West North Central","GREAT PLAINS","WEST-CENTRAL SEMIARID PRAIRIES","Upper Missouri","Central Mixed-Grass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Missouri Region","Missouri-White","Northern Plains","Western Great Plains","freshwater","stream","stream","surfacewater","stream/river",97,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"62","oglalast","batch_144726","2013-07-10","sd","West North Central","GREAT PLAINS","WEST-CENTRAL SEMIARID PRAIRIES","Upper Missouri","Central Mixed-Grass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Missouri Region","Missouri-White","Northern Plains","Western Great Plains","freshwater","stream","stream","surfacewater","stream/river",816,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"63","oglalast","batch_144721","2013-08-06","sd","West North Central","GREAT PLAINS","WEST-CENTRAL SEMIARID PRAIRIES","Upper Missouri","Central Mixed-Grass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Missouri Region","Missouri-White","Northern Plains","Western Great Plains","freshwater","stream","stream","surfacewater","stream/river",548,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"64","oglalast","batch_144728","2013-09-29","sd","West North Central","GREAT PLAINS","WEST-CENTRAL SEMIARID PRAIRIES","Upper Missouri","Central Mixed-Grass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Missouri Region","Missouri-White","Northern Plains","Western Great Plains","freshwater","stream","stream","surfacewater","stream/river",921,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
