"","study_sh","scri_sample_id","date","state","cens.region","epa.l1.ecoreg","epa.l2.ecoreg","tnc.h2o.reg","tnc.terr.reg","h2o.habtat","terrhabtat","huc2.nm.nhd","usda.regions","epa.regions","fresh","water_type","water_typem","water_typeg","water_typec","ec","ec_methodf","ec_methodm","ec_methodc","entero","entero_methodf","entero_methodm","entero_methodc","fc","fc_methodf","fc_methodm","fc_methodc"
"15","iowatrokwqx","batch_112298","2011-03-28","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","Southern Plains","South Central US","freshwater","stream","stream","surfacewater","stream/river",68.9,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"16","iowatrokwqx","batch_112293","2011-06-23","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","Southern Plains","South Central US","freshwater","stream","stream","surfacewater","stream/river",51.2,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"17","iowatrokwqx","batch_112310","2011-08-08","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","Southern Plains","South Central US","freshwater","stream","stream","surfacewater","stream/river",142.1,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"18","iowatrokwqx","batch_112323","2011-06-02","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","Southern Plains","South Central US","freshwater","stream","stream","surfacewater","stream/river",355.1,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"19","iowatrokwqx","batch_112288","2011-09-15","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","Southern Plains","South Central US","freshwater","stream","stream","surfacewater","stream/river",39.9,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"20","iowatrokwqx","batch_112322","2011-04-14","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","Southern Plains","South Central US","freshwater","stream","stream","surfacewater","stream/river",344.6,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"21","iowatrokwqx","batch_112340","2011-05-25","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","Southern Plains","South Central US","freshwater","stream","stream","surfacewater","stream/river",727,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"22","iowatrokwqx","batch_112335","2011-05-23","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","Southern Plains","South Central US","freshwater","stream","stream","surfacewater","stream/river",622.1,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"23","iowatrokwqx","batch_112347","2011-05-09","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","Southern Plains","South Central US","freshwater","stream","stream","surfacewater","stream/river",920.8,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"24","iowatrokwqx","batch_112282","2011-01-31","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","Southern Plains","South Central US","freshwater","stream","stream","surfacewater","stream/river",33.6,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"25","iowatrokwqx","batch_112285","2011-09-13","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","Southern Plains","South Central US","freshwater","stream","stream","surfacewater","stream/river",36.9,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"26","iowatrokwqx","batch_112297","2011-03-31","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","Southern Plains","South Central US","freshwater","stream","stream","surfacewater","stream/river",59.4,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"27","iowatrokwqx","batch_112320","2011-04-11","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","Southern Plains","South Central US","freshwater","stream","stream","surfacewater","stream/river",307.6,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"28","iowatrokwqx","batch_112308","2011-08-22","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","Southern Plains","South Central US","freshwater","stream","stream","surfacewater","stream/river",130.35,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"29","iowatrokwqx","batch_112283","2011-02-02","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","Southern Plains","South Central US","freshwater","stream","stream","surfacewater","stream/river",33.6,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"30","iowatrokwqx","batch_112299","2011-09-29","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","Southern Plains","South Central US","freshwater","stream","stream","surfacewater","stream/river",88.4,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"31","iowatrokwqx","batch_112324","2011-03-09","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","Southern Plains","South Central US","freshwater","stream","stream","surfacewater","stream/river",410.6,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"32","iowatrokwqx","batch_112300","2011-04-19","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","Southern Plains","South Central US","freshwater","stream","stream","surfacewater","stream/river",95.9,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"33","iowatrokwqx","batch_112303","2011-04-28","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","Southern Plains","South Central US","freshwater","stream","stream","surfacewater","stream/river",98.7,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"34","iowatrokwqx","batch_112301","2011-09-27","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","Southern Plains","South Central US","freshwater","stream","stream","surfacewater","stream/river",97.3,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"35","iowatrokwqx","batch_112302","2011-04-25","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","Southern Plains","South Central US","freshwater","stream","stream","surfacewater","stream/river",98.7,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"36","iowatrokwqx","batch_112312","2011-01-18","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","Southern Plains","South Central US","freshwater","stream","stream","surfacewater","stream/river",159.95,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"37","iowatrokwqx","batch_112306","2011-07-21","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","Southern Plains","South Central US","freshwater","stream","stream","surfacewater","stream/river",102.9,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"38","iowatrokwqx","batch_112311","2011-01-10","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","Southern Plains","South Central US","freshwater","stream","stream","surfacewater","stream/river",148.3,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"39","iowatrokwqx","batch_112228","2011-04-19","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","Southern Plains","South Central US","freshwater","stream","stream","surfacewater","stream/river",81.3,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"40","iowatrokwqx","batch_112205","2011-06-23","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","Southern Plains","South Central US","freshwater","stream","stream","surfacewater","stream/river",18.9,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"41","iowatrokwqx","batch_112243","2011-06-02","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","Southern Plains","South Central US","freshwater","stream","stream","surfacewater","stream/river",344.8,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"42","iowatrokwqx","batch_112221","2011-09-29","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","Southern Plains","South Central US","freshwater","stream","stream","surfacewater","stream/river",63.7,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"43","iowatrokwqx","batch_112208","2011-07-11","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","Southern Plains","South Central US","freshwater","stream","stream","surfacewater","stream/river",41.4,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"44","iowatrokwqx","batch_112204","2011-02-02","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","Southern Plains","South Central US","freshwater","stream","stream","surfacewater","stream/river",18.3,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"45","iowatrokwqx","batch_112227","2011-03-28","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","Southern Plains","South Central US","freshwater","stream","stream","surfacewater","stream/river",69.1,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"46","iowatrokwqx","batch_112214","2011-09-07","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","Southern Plains","South Central US","freshwater","stream","stream","surfacewater","stream/river",52.9,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"47","iowatrokwqx","batch_112220","2011-07-13","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","Southern Plains","South Central US","freshwater","stream","stream","surfacewater","stream/river",61.4,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"48","iowatrokwqx","batch_112234","2011-01-18","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","Southern Plains","South Central US","freshwater","stream","stream","surfacewater","stream/river",135.4,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"49","iowatrokwqx","batch_112230","2011-04-28","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","Southern Plains","South Central US","freshwater","stream","stream","surfacewater","stream/river",88.2,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"50","iowatrokwqx","batch_112224","2011-07-13","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","Southern Plains","South Central US","freshwater","stream","stream","surfacewater","stream/river",65.2,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"51","iowatrokwqx","batch_112239","2011-06-08","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","Southern Plains","South Central US","freshwater","stream","stream","surfacewater","stream/river",260.3,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"52","iowatrokwqx","batch_112252","2011-03-15","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","Southern Plains","South Central US","freshwater","stream","stream","surfacewater","stream/river",488.4,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"53","iowatrokwqx","batch_112226","2011-07-21","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","Southern Plains","South Central US","freshwater","stream","stream","surfacewater","stream/river",66.9,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"54","iowatrokwqx","batch_112200","2011-08-08","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","Southern Plains","South Central US","freshwater","stream","stream","surfacewater","stream/river",14.6,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"55","iowatrokwqx","batch_112225","2011-09-27","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","Southern Plains","South Central US","freshwater","stream","stream","surfacewater","stream/river",65.7,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"56","iowatrokwqx","batch_112249","2011-04-14","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","Southern Plains","South Central US","freshwater","stream","stream","surfacewater","stream/river",461.1,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"57","iowatrokwqx","batch_112251","2011-03-09","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","Southern Plains","South Central US","freshwater","stream","stream","surfacewater","stream/river",474.75,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"58","iowatrokwqx","batch_112233","2011-01-10","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","Southern Plains","South Central US","freshwater","stream","stream","surfacewater","stream/river",131.4,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"59","iowatrokwqx","batch_112217","2011-09-19","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","Southern Plains","South Central US","freshwater","stream","stream","surfacewater","stream/river",55.9,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"60","iowatrokwqx","batch_112256","2011-05-09","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","Southern Plains","South Central US","freshwater","stream","stream","surfacewater","stream/river",722,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"61","iowatrokwqx","batch_112229","2011-04-25","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","Southern Plains","South Central US","freshwater","stream","stream","surfacewater","stream/river",86,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
