"","study_sh","scri_sample_id","date","state","cens.region","epa.l1.ecoreg","epa.l2.ecoreg","tnc.h2o.reg","tnc.terr.reg","h2o.habtat","terrhabtat","huc2.nm.nhd","huc4.nm.nhd","usda.regions","epa.regions","fresh","water_type","water_typem","water_typeg","water_typec","sample_type","ec","ec_methodf","ec_methodm","ec_methodc"
"11","cpnwater","batch_141255","2016-08-09","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","Lower Canadian","Southern Plains","South Central US","freshwater","river","river","surfacewater","stream/river",NA,2,"idexxquantitray","mpn","mpn"
"12","cpnwater","batch_141259","2016-07-26","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","Lower Canadian","Southern Plains","South Central US","freshwater","river","river","surfacewater","stream/river",NA,6.3,"idexxquantitray","mpn","mpn"
"13","cpnwater","batch_141256","2016-09-27","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","Lower Canadian","Southern Plains","South Central US","freshwater","river","river","surfacewater","stream/river",NA,2,"idexxquantitray","mpn","mpn"
"14","cpnwater","batch_141254","2016-05-10","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","Lower Canadian","Southern Plains","South Central US","freshwater","river","river","surfacewater","stream/river",NA,1,"idexxquantitray","mpn","mpn"
"15","cpnwater","batch_141261","2016-06-20","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","Lower Canadian","Southern Plains","South Central US","freshwater","river","river","surfacewater","stream/river",NA,16.1,"idexxquantitray","mpn","mpn"
"16","cpnwater","batch_141258","2017-08-22","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","Lower Canadian","Southern Plains","South Central US","freshwater","river","river","surfacewater","stream/river",NA,2,"idexxquantitray","mpn","mpn"
"17","cpnwater","batch_141262","2017-06-27","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","Lower Canadian","Southern Plains","South Central US","freshwater","river","river","surfacewater","stream/river",NA,19.9,"idexxquantitray","mpn","mpn"
"18","cpnwater","batch_141263","2017-07-18","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","Lower Canadian","Southern Plains","South Central US","freshwater","river","river","surfacewater","stream/river",NA,26.9,"idexxquantitray","mpn","mpn"
"19","cpnwater","batch_141266","2017-09-19","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","Lower Canadian","Southern Plains","South Central US","freshwater","river","river","surfacewater","stream/river",NA,66.3,"idexxquantitray","mpn","mpn"
"20","cpnwater","batch_141264","2017-05-22","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","Lower Canadian","Southern Plains","South Central US","freshwater","river","river","surfacewater","stream/river",NA,31.6,"idexxquantitray","mpn","mpn"
"21","cpnwater","batch_134092","2014-07-14","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","North Canadian","Southern Plains","South Central US","freshwater","river","river","surfacewater","stream/river",NA,248.1,"idexxquantitray","mpn","mpn"
"22","cpnwater","batch_134087","2014-09-16","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","North Canadian","Southern Plains","South Central US","freshwater","river","river","surfacewater","stream/river",NA,77.1,"idexxquantitray","mpn","mpn"
"23","cpnwater","batch_134095","2014-05-26","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","North Canadian","Southern Plains","South Central US","freshwater","river","river","surfacewater","stream/river",NA,770.1,"idexxquantitray","mpn","mpn"
"24","cpnwater","batch_134089","2014-08-18","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","North Canadian","Southern Plains","South Central US","freshwater","river","river","surfacewater","stream/river",NA,86,"idexxquantitray","mpn","mpn"
"25","cpnwater","batch_134090","2014-06-17","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","North Canadian","Southern Plains","South Central US","freshwater","river","river","surfacewater","stream/river",NA,135.4,"idexxquantitray","mpn","mpn"
"26","cpnwater","batch_134093","2015-09-21","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","North Canadian","Southern Plains","South Central US","freshwater","river","river","surfacewater","stream/river",NA,365.4,"idexxquantitray","mpn","mpn"
"27","cpnwater","batch_134096","2015-05-12","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","North Canadian","Southern Plains","South Central US","freshwater","river","river","surfacewater","stream/river",NA,1841.7,"idexxquantitray","mpn","mpn"
"28","cpnwater","batch_134085","2015-08-25","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","North Canadian","Southern Plains","South Central US","freshwater","river","river","surfacewater","stream/river",NA,59.1,"idexxquantitray","mpn","mpn"
"29","cpnwater","batch_134079","2015-07-20","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","North Canadian","Southern Plains","South Central US","freshwater","river","river","surfacewater","stream/river",NA,0,"idexxquantitray","mpn","mpn"
"30","cpnwater","batch_134086","2015-09-08","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","North Canadian","Southern Plains","South Central US","freshwater","river","river","surfacewater","stream/river",NA,66.3,"idexxquantitray","mpn","mpn"
"31","cpnwater","batch_134097","2016-05-10","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","North Canadian","Southern Plains","South Central US","freshwater","river","river","surfacewater","stream/river",NA,1986.3,"idexxquantitray","mpn","mpn"
"32","cpnwater","batch_134078","2016-07-26","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","North Canadian","Southern Plains","South Central US","freshwater","river","river","surfacewater","stream/river",NA,0,"idexxquantitray","mpn","mpn"
"33","cpnwater","batch_134083","2016-08-09","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","North Canadian","Southern Plains","South Central US","freshwater","river","river","surfacewater","stream/river",NA,22.8,"idexxquantitray","mpn","mpn"
"34","cpnwater","batch_134094","2016-06-20","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","North Canadian","Southern Plains","South Central US","freshwater","river","river","surfacewater","stream/river",NA,517.2,"idexxquantitray","mpn","mpn"
"35","cpnwater","batch_134088","2016-09-27","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","North Canadian","Southern Plains","South Central US","freshwater","river","river","surfacewater","stream/river",NA,77.6,"idexxquantitray","mpn","mpn"
"36","cpnwater","batch_134081","2017-07-18","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","North Canadian","Southern Plains","South Central US","freshwater","river","river","surfacewater","stream/river",NA,9.7,"idexxquantitray","mpn","mpn"
"37","cpnwater","batch_134080","2017-08-22","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","North Canadian","Southern Plains","South Central US","freshwater","river","river","surfacewater","stream/river",NA,0,"idexxquantitray","mpn","mpn"
"38","cpnwater","batch_134091","2017-05-22","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","North Canadian","Southern Plains","South Central US","freshwater","river","river","surfacewater","stream/river",NA,240,"idexxquantitray","mpn","mpn"
"39","cpnwater","batch_134084","2017-06-27","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","North Canadian","Southern Plains","South Central US","freshwater","river","river","surfacewater","stream/river",NA,52,"idexxquantitray","mpn","mpn"
"40","cpnwater","batch_134082","2017-09-19","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","North Canadian","Southern Plains","South Central US","freshwater","river","river","surfacewater","stream/river",NA,18.7,"idexxquantitray","mpn","mpn"
"41","cpnwater","batch_136088","2012-05-25","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","Lower Canadian","Southern Plains","South Central US","freshwater","stream","stream","surfacewater","stream/river",NA,52.1,"idexxquantitray","mpn","mpn"
"42","cpnwater","batch_141293","2014-07-15","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","Lower Canadian","Southern Plains","South Central US","freshwater","river","river","surfacewater","stream/river",NA,96,"idexxquantitray","mpn","mpn"
"43","cpnwater","batch_141294","2014-09-17","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","Lower Canadian","Southern Plains","South Central US","freshwater","river","river","surfacewater","stream/river",NA,108.1,"idexxquantitray","mpn","mpn"
"44","cpnwater","batch_141290","2014-05-27","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","Lower Canadian","Southern Plains","South Central US","freshwater","river","river","surfacewater","stream/river",NA,50.4,"idexxquantitray","mpn","mpn"
"45","cpnwater","batch_141303","2014-06-18","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","Lower Canadian","Southern Plains","South Central US","freshwater","river","river","surfacewater","stream/river",NA,1203.3,"idexxquantitray","mpn","mpn"
"46","cpnwater","batch_141295","2014-08-19","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","Lower Canadian","Southern Plains","South Central US","freshwater","river","river","surfacewater","stream/river",NA,115.3,"idexxquantitray","mpn","mpn"
"47","cpnwater","batch2_392405","2014-05-27","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","Lower Canadian","Southern Plains","South Central US","freshwater","stream","stream","surfacewater","stream/river","grabsample",1986.3,"idexxquantitray","mpn","mpn"
"48","cpnwater","batch2_392396","2014-09-17","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","Lower Canadian","Southern Plains","South Central US","freshwater","stream","stream","surfacewater","stream/river","grabsample",488.4,"idexxquantitray","mpn","mpn"
"49","cpnwater","batch2_392395","2014-08-19","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","Lower Canadian","Southern Plains","South Central US","freshwater","stream","stream","surfacewater","stream/river","grabsample",435.2,"idexxquantitray","mpn","mpn"
"50","cpnwater","batch2_392389","2014-07-15","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","Lower Canadian","Southern Plains","South Central US","freshwater","stream","stream","surfacewater","stream/river","grabsample",148.3,"idexxquantitray","mpn","mpn"
"51","cpnwater","batch2_392373","2014-06-18","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","Lower Canadian","Southern Plains","South Central US","freshwater","stream","stream","surfacewater","stream/river","grabsample",0,"idexxquantitray","mpn","mpn"
"52","cpnwater","batch_150816","2014-07-15","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","Lower Canadian","Southern Plains","South Central US","freshwater","stream","stream","surfacewater","stream/river",NA,365.4,"idexxquantitray","mpn","mpn"
"53","cpnwater","batch_150833","2014-06-18","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","Lower Canadian","Southern Plains","South Central US","freshwater","stream","stream","surfacewater","stream/river",NA,1986.3,"idexxquantitray","mpn","mpn"
"54","cpnwater","batch_150830","2014-05-27","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","Lower Canadian","Southern Plains","South Central US","freshwater","stream","stream","surfacewater","stream/river",NA,1203.3,"idexxquantitray","mpn","mpn"
"55","cpnwater","batch_150831","2014-09-17","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","Lower Canadian","Southern Plains","South Central US","freshwater","stream","stream","surfacewater","stream/river",NA,1203.3,"idexxquantitray","mpn","mpn"
"56","cpnwater","batch_150824","2014-08-19","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","Lower Canadian","Southern Plains","South Central US","freshwater","stream","stream","surfacewater","stream/river",NA,547.5,"idexxquantitray","mpn","mpn"
"57","cpnwater","batch_150769","2014-06-18","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","Lower Canadian","Southern Plains","South Central US","freshwater","stream","stream","surfacewater","stream/river",NA,1413.6,"idexxquantitray","mpn","mpn"
"58","cpnwater","batch_150755","2014-09-17","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","Lower Canadian","Southern Plains","South Central US","freshwater","stream","stream","surfacewater","stream/river",NA,166.4,"idexxquantitray","mpn","mpn"
"59","cpnwater","batch_150763","2014-05-27","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","Lower Canadian","Southern Plains","South Central US","freshwater","stream","stream","surfacewater","stream/river",NA,517.2,"idexxquantitray","mpn","mpn"
"60","cpnwater","batch_150767","2014-08-11","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","Lower Canadian","Southern Plains","South Central US","freshwater","stream","stream","surfacewater","stream/river",NA,1119.9,"idexxquantitray","mpn","mpn"
"61","cpnwater","batch_150746","2014-07-15","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","Lower Canadian","Southern Plains","South Central US","freshwater","stream","stream","surfacewater","stream/river",NA,49.5,"idexxquantitray","mpn","mpn"
"62","cpnwater","batch_134109","2014-07-15","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","Lower Canadian","Southern Plains","South Central US","freshwater","river","river","surfacewater","stream/river",NA,126.7,"idexxquantitray","mpn","mpn"
"63","cpnwater","batch_134105","2014-09-17","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","Lower Canadian","Southern Plains","South Central US","freshwater","river","river","surfacewater","stream/river",NA,24.3,"idexxquantitray","mpn","mpn"
"64","cpnwater","batch_134101","2014-08-19","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","Lower Canadian","Southern Plains","South Central US","freshwater","river","river","surfacewater","stream/river",NA,6.3,"idexxquantitray","mpn","mpn"
"65","cpnwater","batch_134118","2014-06-18","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","Lower Canadian","Southern Plains","South Central US","freshwater","river","river","surfacewater","stream/river",NA,2419.6,"idexxquantitray","mpn","mpn"
"66","cpnwater","batch_134115","2014-05-27","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","Lower Canadian","Southern Plains","South Central US","freshwater","river","river","surfacewater","stream/river",NA,1046.2,"idexxquantitray","mpn","mpn"
"67","cpnwater","batch_136145","2014-07-14","ok","West South Central","GREAT PLAINS","SOUTH CENTRAL SEMIARID PRAIRIES","US Southern Plains","Crosstimbers And Southern Tallgrass Prairie","temperate upland rivers","Temperate Grasslands, Savannas and Shrublands","Arkansas-White-Red Region","Lower Canadian","Southern Plains","South Central US","freshwater","stream","stream","surfacewater","stream/river",NA,224.7,"idexxquantitray","mpn","mpn"
