"","study_sh","scri_sample_id","date","state","cens.region","epa.l1.ecoreg","epa.l2.ecoreg","tnc.h2o.reg","tnc.terr.reg","h2o.habtat","terrhabtat","huc2.nm.nhd","huc4.nm.nhd","usda.regions","epa.regions","fresh","water_type","water_typem","water_typeg","water_typec","ec","ec_methodf","ec_methodm","ec_methodc","fc","fc_methodf","fc_methodm","fc_methodc"
"11","shopaitrwqx","batch_144493","2007-11-06","id","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Columbia Unglaciated","Columbia Plateau","temperate floodplain rivers and wetlands","Deserts and Xeric Shrublands","Pacific Northwest Region","Middle Snake","Northwest Region","Pacific Northwest","freshwater","river","river","surfacewater","stream/river",2,"sm9213d","membranefiltration","membranefiltration",NA,NA,NA,NA
"12","shopaitrwqx","batch_144500","2007-09-04","id","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Columbia Unglaciated","Columbia Plateau","temperate floodplain rivers and wetlands","Deserts and Xeric Shrublands","Pacific Northwest Region","Middle Snake","Northwest Region","Pacific Northwest","freshwater","river","river","surfacewater","stream/river",12,"sm9213d","membranefiltration","membranefiltration",NA,NA,NA,NA
"13","shopaitrwqx","batch_144482","2007-09-04","id","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Columbia Unglaciated","Columbia Plateau","temperate floodplain rivers and wetlands","Deserts and Xeric Shrublands","Pacific Northwest Region","Middle Snake","Northwest Region","Pacific Northwest","freshwater","river","river","surfacewater","stream/river",12,"sm9213d","membranefiltration","membranefiltration",NA,NA,NA,NA
"14","shopaitrwqx","batch_144501","2007-05-01","id","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Columbia Unglaciated","Columbia Plateau","temperate floodplain rivers and wetlands","Deserts and Xeric Shrublands","Pacific Northwest Region","Middle Snake","Northwest Region","Pacific Northwest","freshwater","river","river","surfacewater","stream/river",14,"sm9213d","membranefiltration","membranefiltration",NA,NA,NA,NA
"15","shopaitrwqx","batch_153454","2007-05-01","id","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Columbia Unglaciated","Columbia Plateau","temperate floodplain rivers and wetlands","Deserts and Xeric Shrublands","Pacific Northwest Region","Middle Snake","Northwest Region","Pacific Northwest","freshwater","stream","stream","surfacewater","stream/river",76,"sm9213d","membranefiltration","membranefiltration",NA,NA,NA,NA
"16","shopaitrwqx","batch_153456","2007-09-04","id","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Columbia Unglaciated","Columbia Plateau","temperate floodplain rivers and wetlands","Deserts and Xeric Shrublands","Pacific Northwest Region","Middle Snake","Northwest Region","Pacific Northwest","freshwater","stream","stream","surfacewater","stream/river",120,"sm9213d","membranefiltration","membranefiltration",NA,NA,NA,NA
"17","shopaitrwqx","batch_153443","2007-09-04","id","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Columbia Unglaciated","Columbia Plateau","temperate floodplain rivers and wetlands","Deserts and Xeric Shrublands","Pacific Northwest Region","Middle Snake","Northwest Region","Pacific Northwest","freshwater","stream","stream","surfacewater","stream/river",120,"sm9213d","membranefiltration","membranefiltration",NA,NA,NA,NA
"18","shopaitrwqx","batch_153441","2007-05-01","id","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Columbia Unglaciated","Columbia Plateau","temperate floodplain rivers and wetlands","Deserts and Xeric Shrublands","Pacific Northwest Region","Middle Snake","Northwest Region","Pacific Northwest","freshwater","stream","stream","surfacewater","stream/river",76,"sm9213d","membranefiltration","membranefiltration",NA,NA,NA,NA
"19","shopaitrwqx","batch_144467","2007-09-04","id","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Columbia Unglaciated","Columbia Plateau","temperate floodplain rivers and wetlands","Deserts and Xeric Shrublands","Pacific Northwest Region","Middle Snake","Northwest Region","Pacific Northwest","freshwater","river","river","surfacewater","stream/river",16,"sm9213d","membranefiltration","membranefiltration",NA,NA,NA,NA
"20","shopaitrwqx","batch_144443","2007-11-06","id","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Columbia Unglaciated","Columbia Plateau","temperate floodplain rivers and wetlands","Deserts and Xeric Shrublands","Pacific Northwest Region","Middle Snake","Northwest Region","Pacific Northwest","freshwater","river","river","surfacewater","stream/river",2,"sm9213d","membranefiltration","membranefiltration",NA,NA,NA,NA
"21","shopaitrwqx","batch_144468","2007-05-01","id","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Columbia Unglaciated","Columbia Plateau","temperate floodplain rivers and wetlands","Deserts and Xeric Shrublands","Pacific Northwest Region","Middle Snake","Northwest Region","Pacific Northwest","freshwater","river","river","surfacewater","stream/river",18,"sm9213d","membranefiltration","membranefiltration",NA,NA,NA,NA
"22","shopaitrwqx","batch_144450","2007-09-04","id","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Columbia Unglaciated","Columbia Plateau","temperate floodplain rivers and wetlands","Deserts and Xeric Shrublands","Pacific Northwest Region","Middle Snake","Northwest Region","Pacific Northwest","freshwater","river","river","surfacewater","stream/river",16,"sm9213d","membranefiltration","membranefiltration",NA,NA,NA,NA
"23","shopaitrwqx","batch_144451","2007-05-01","id","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Columbia Unglaciated","Columbia Plateau","temperate floodplain rivers and wetlands","Deserts and Xeric Shrublands","Pacific Northwest Region","Middle Snake","Northwest Region","Pacific Northwest","freshwater","river","river","surfacewater","stream/river",18,"sm9213d","membranefiltration","membranefiltration",NA,NA,NA,NA
"24","shopaitrwqx","batch_144459","2007-11-06","id","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Columbia Unglaciated","Columbia Plateau","temperate floodplain rivers and wetlands","Deserts and Xeric Shrublands","Pacific Northwest Region","Middle Snake","Northwest Region","Pacific Northwest","freshwater","river","river","surfacewater","stream/river",2,"sm9213d","membranefiltration","membranefiltration",NA,NA,NA,NA
"25","shopaitrwqx","batch_144433","2007-09-04","id","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Columbia Unglaciated","Columbia Plateau","temperate floodplain rivers and wetlands","Deserts and Xeric Shrublands","Pacific Northwest Region","Middle Snake","Northwest Region","Pacific Northwest","freshwater","river","river","surfacewater","stream/river",4,"sm9213d","membranefiltration","membranefiltration",NA,NA,NA,NA
"26","shopaitrwqx","batch_144439","2007-05-01","id","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Columbia Unglaciated","Columbia Plateau","temperate floodplain rivers and wetlands","Deserts and Xeric Shrublands","Pacific Northwest Region","Middle Snake","Northwest Region","Pacific Northwest","freshwater","river","river","surfacewater","stream/river",80,"sm9213d","membranefiltration","membranefiltration",NA,NA,NA,NA
"27","shopaitrwqx","batch_144422","2007-09-04","id","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Columbia Unglaciated","Columbia Plateau","temperate floodplain rivers and wetlands","Deserts and Xeric Shrublands","Pacific Northwest Region","Middle Snake","Northwest Region","Pacific Northwest","freshwater","river","river","surfacewater","stream/river",4,"sm9213d","membranefiltration","membranefiltration",NA,NA,NA,NA
"28","shopaitrwqx","batch_144429","2007-05-01","id","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Columbia Unglaciated","Columbia Plateau","temperate floodplain rivers and wetlands","Deserts and Xeric Shrublands","Pacific Northwest Region","Middle Snake","Northwest Region","Pacific Northwest","freshwater","river","river","surfacewater","stream/river",80,"sm9213d","membranefiltration","membranefiltration",NA,NA,NA,NA
"29","shopaitrwqx","batch_142000","2007-09-04","id","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Columbia Unglaciated","Columbia Plateau","temperate floodplain rivers and wetlands","Deserts and Xeric Shrublands","Pacific Northwest Region","Middle Snake","Northwest Region","Pacific Northwest","freshwater","stream","stream","surfacewater","stream/river",400,"sm9213d","membranefiltration","membranefiltration",NA,NA,NA,NA
"30","shopaitrwqx","batch_141992","2007-05-01","id","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Columbia Unglaciated","Columbia Plateau","temperate floodplain rivers and wetlands","Deserts and Xeric Shrublands","Pacific Northwest Region","Middle Snake","Northwest Region","Pacific Northwest","freshwater","stream","stream","surfacewater","stream/river",10,"sm9213d","membranefiltration","membranefiltration",NA,NA,NA,NA
"31","shopaitrwqx","batch_142003","2007-05-01","id","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Columbia Unglaciated","Columbia Plateau","temperate floodplain rivers and wetlands","Deserts and Xeric Shrublands","Pacific Northwest Region","Middle Snake","Northwest Region","Pacific Northwest","freshwater","stream","stream","surfacewater","stream/river",10,"sm9213d","membranefiltration","membranefiltration",NA,NA,NA,NA
"32","shopaitrwqx","batch_142011","2007-09-04","id","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Columbia Unglaciated","Columbia Plateau","temperate floodplain rivers and wetlands","Deserts and Xeric Shrublands","Pacific Northwest Region","Middle Snake","Northwest Region","Pacific Northwest","freshwater","stream","stream","surfacewater","stream/river",400,"sm9213d","membranefiltration","membranefiltration",NA,NA,NA,NA
"33","shopaitrwqx","batch_141998","2007-11-06","id","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Columbia Unglaciated","Columbia Plateau","temperate floodplain rivers and wetlands","Deserts and Xeric Shrublands","Pacific Northwest Region","Middle Snake","Northwest Region","Pacific Northwest","freshwater","stream","stream","surfacewater","stream/river",130,"sm9213d","membranefiltration","membranefiltration",NA,NA,NA,NA
"34","shopaitrwqx","batch_142009","2007-11-06","id","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Columbia Unglaciated","Columbia Plateau","temperate floodplain rivers and wetlands","Deserts and Xeric Shrublands","Pacific Northwest Region","Middle Snake","Northwest Region","Pacific Northwest","freshwater","stream","stream","surfacewater","stream/river",130,"sm9213d","membranefiltration","membranefiltration",NA,NA,NA,NA
"35","shopaitrwqx","batch_133784","2008-08-12","id","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Columbia Unglaciated","Columbia Plateau","temperate floodplain rivers and wetlands","Deserts and Xeric Shrublands","Pacific Northwest Region","Middle Snake","Northwest Region","Pacific Northwest","freshwater","stream","stream","surfacewater","stream/river",320,"sm9213d","membranefiltration","membranefiltration",NA,NA,NA,NA
"36","shopaitrwqx","batch_133772","2008-08-12","id","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Columbia Unglaciated","Columbia Plateau","temperate floodplain rivers and wetlands","Deserts and Xeric Shrublands","Pacific Northwest Region","Middle Snake","Northwest Region","Pacific Northwest","freshwater","stream","stream","surfacewater","stream/river",320,"sm9213d","membranefiltration","membranefiltration",NA,NA,NA,NA
"37","shopaitrwqx","batch_142370","2008-05-05","id","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Columbia Unglaciated","Columbia Plateau","temperate floodplain rivers and wetlands","Deserts and Xeric Shrublands","Pacific Northwest Region","Middle Snake","Northwest Region","Pacific Northwest","freshwater","stream","stream","surfacewater","stream/river",4,"sm9213d","membranefiltration","membranefiltration",NA,NA,NA,NA
"38","shopaitrwqx","batch_142376","2008-11-11","id","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Columbia Unglaciated","Columbia Plateau","temperate floodplain rivers and wetlands","Deserts and Xeric Shrublands","Pacific Northwest Region","Middle Snake","Northwest Region","Pacific Northwest","freshwater","stream","stream","surfacewater","stream/river",56,"sm9213d","membranefiltration","membranefiltration",NA,NA,NA,NA
"39","shopaitrwqx","batch_133778","2008-05-05","id","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Columbia Unglaciated","Columbia Plateau","temperate floodplain rivers and wetlands","Deserts and Xeric Shrublands","Pacific Northwest Region","Middle Snake","Northwest Region","Pacific Northwest","freshwater","stream","stream","surfacewater","stream/river",28,"sm9213d","membranefiltration","membranefiltration",NA,NA,NA,NA
"40","shopaitrwqx","batch_142374","2008-09-02","id","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Columbia Unglaciated","Columbia Plateau","temperate floodplain rivers and wetlands","Deserts and Xeric Shrublands","Pacific Northwest Region","Middle Snake","Northwest Region","Pacific Northwest","freshwater","stream","stream","surfacewater","stream/river",42,"sm9213d","membranefiltration","membranefiltration",NA,NA,NA,NA
"41","shopaitrwqx","batch_142387","2008-11-11","id","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Columbia Unglaciated","Columbia Plateau","temperate floodplain rivers and wetlands","Deserts and Xeric Shrublands","Pacific Northwest Region","Middle Snake","Northwest Region","Pacific Northwest","freshwater","stream","stream","surfacewater","stream/river",56,"sm9213d","membranefiltration","membranefiltration",NA,NA,NA,NA
"42","shopaitrwqx","batch_133776","2008-12-02","id","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Columbia Unglaciated","Columbia Plateau","temperate floodplain rivers and wetlands","Deserts and Xeric Shrublands","Pacific Northwest Region","Middle Snake","Northwest Region","Pacific Northwest","freshwater","stream","stream","surfacewater","stream/river",20,"sm9213d","membranefiltration","membranefiltration",NA,NA,NA,NA
"43","shopaitrwqx","batch_142381","2008-05-05","id","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Columbia Unglaciated","Columbia Plateau","temperate floodplain rivers and wetlands","Deserts and Xeric Shrublands","Pacific Northwest Region","Middle Snake","Northwest Region","Pacific Northwest","freshwater","stream","stream","surfacewater","stream/river",4,"sm9213d","membranefiltration","membranefiltration",NA,NA,NA,NA
"44","shopaitrwqx","batch_133766","2008-05-05","id","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Columbia Unglaciated","Columbia Plateau","temperate floodplain rivers and wetlands","Deserts and Xeric Shrublands","Pacific Northwest Region","Middle Snake","Northwest Region","Pacific Northwest","freshwater","stream","stream","surfacewater","stream/river",28,"sm9213d","membranefiltration","membranefiltration",NA,NA,NA,NA
"45","shopaitrwqx","batch_133764","2008-12-02","id","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Columbia Unglaciated","Columbia Plateau","temperate floodplain rivers and wetlands","Deserts and Xeric Shrublands","Pacific Northwest Region","Middle Snake","Northwest Region","Pacific Northwest","freshwater","stream","stream","surfacewater","stream/river",20,"sm9213d","membranefiltration","membranefiltration",NA,NA,NA,NA
"46","shopaitrwqx","batch_142385","2008-09-02","id","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Columbia Unglaciated","Columbia Plateau","temperate floodplain rivers and wetlands","Deserts and Xeric Shrublands","Pacific Northwest Region","Middle Snake","Northwest Region","Pacific Northwest","freshwater","stream","stream","surfacewater","stream/river",42,"sm9213d","membranefiltration","membranefiltration",NA,NA,NA,NA
"47","shopaitrwqx","batch_144508","2008-05-05","id","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Columbia Unglaciated","Columbia Plateau","temperate floodplain rivers and wetlands","Deserts and Xeric Shrublands","Pacific Northwest Region","Middle Snake","Northwest Region","Pacific Northwest","freshwater","river","river","surfacewater","stream/river",52,"sm9213d","membranefiltration","membranefiltration",NA,NA,NA,NA
"48","shopaitrwqx","batch_144486","2008-09-02","id","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Columbia Unglaciated","Columbia Plateau","temperate floodplain rivers and wetlands","Deserts and Xeric Shrublands","Pacific Northwest Region","Middle Snake","Northwest Region","Pacific Northwest","freshwater","river","river","surfacewater","stream/river",16,"sm9213d","membranefiltration","membranefiltration",NA,NA,NA,NA
"49","shopaitrwqx","batch_144481","2008-11-11","id","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Columbia Unglaciated","Columbia Plateau","temperate floodplain rivers and wetlands","Deserts and Xeric Shrublands","Pacific Northwest Region","Middle Snake","Northwest Region","Pacific Northwest","freshwater","river","river","surfacewater","stream/river",10,"sm9213d","membranefiltration","membranefiltration",NA,NA,NA,NA
"50","shopaitrwqx","batch_144498","2008-11-11","id","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Columbia Unglaciated","Columbia Plateau","temperate floodplain rivers and wetlands","Deserts and Xeric Shrublands","Pacific Northwest Region","Middle Snake","Northwest Region","Pacific Northwest","freshwater","river","river","surfacewater","stream/river",10,"sm9213d","membranefiltration","membranefiltration",NA,NA,NA,NA
"51","shopaitrwqx","batch_144491","2008-05-05","id","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Columbia Unglaciated","Columbia Plateau","temperate floodplain rivers and wetlands","Deserts and Xeric Shrublands","Pacific Northwest Region","Middle Snake","Northwest Region","Pacific Northwest","freshwater","river","river","surfacewater","stream/river",52,"sm9213d","membranefiltration","membranefiltration",NA,NA,NA,NA
"52","shopaitrwqx","batch_144503","2008-09-02","id","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Columbia Unglaciated","Columbia Plateau","temperate floodplain rivers and wetlands","Deserts and Xeric Shrublands","Pacific Northwest Region","Middle Snake","Northwest Region","Pacific Northwest","freshwater","river","river","surfacewater","stream/river",16,"sm9213d","membranefiltration","membranefiltration",NA,NA,NA,NA
"53","shopaitrwqx","batch_153434","2008-11-11","id","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Columbia Unglaciated","Columbia Plateau","temperate floodplain rivers and wetlands","Deserts and Xeric Shrublands","Pacific Northwest Region","Middle Snake","Northwest Region","Pacific Northwest","freshwater","stream","stream","surfacewater","stream/river",4,"sm9213d","membranefiltration","membranefiltration",NA,NA,NA,NA
"54","shopaitrwqx","batch_153439","2008-05-05","id","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Columbia Unglaciated","Columbia Plateau","temperate floodplain rivers and wetlands","Deserts and Xeric Shrublands","Pacific Northwest Region","Middle Snake","Northwest Region","Pacific Northwest","freshwater","stream","stream","surfacewater","stream/river",48,"sm9213d","membranefiltration","membranefiltration",NA,NA,NA,NA
"55","shopaitrwqx","batch_153447","2008-11-11","id","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Columbia Unglaciated","Columbia Plateau","temperate floodplain rivers and wetlands","Deserts and Xeric Shrublands","Pacific Northwest Region","Middle Snake","Northwest Region","Pacific Northwest","freshwater","stream","stream","surfacewater","stream/river",4,"sm9213d","membranefiltration","membranefiltration",NA,NA,NA,NA
"56","shopaitrwqx","batch_153457","2008-09-02","id","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Columbia Unglaciated","Columbia Plateau","temperate floodplain rivers and wetlands","Deserts and Xeric Shrublands","Pacific Northwest Region","Middle Snake","Northwest Region","Pacific Northwest","freshwater","stream","stream","surfacewater","stream/river",140,"sm9213d","membranefiltration","membranefiltration",NA,NA,NA,NA
"57","shopaitrwqx","batch_153452","2008-05-05","id","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Columbia Unglaciated","Columbia Plateau","temperate floodplain rivers and wetlands","Deserts and Xeric Shrublands","Pacific Northwest Region","Middle Snake","Northwest Region","Pacific Northwest","freshwater","stream","stream","surfacewater","stream/river",48,"sm9213d","membranefiltration","membranefiltration",NA,NA,NA,NA
"58","shopaitrwqx","batch_153444","2008-09-02","id","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Columbia Unglaciated","Columbia Plateau","temperate floodplain rivers and wetlands","Deserts and Xeric Shrublands","Pacific Northwest Region","Middle Snake","Northwest Region","Pacific Northwest","freshwater","stream","stream","surfacewater","stream/river",140,"sm9213d","membranefiltration","membranefiltration",NA,NA,NA,NA
"59","shopaitrwqx","batch_144442","2008-02-18","id","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Columbia Unglaciated","Columbia Plateau","temperate floodplain rivers and wetlands","Deserts and Xeric Shrublands","Pacific Northwest Region","Middle Snake","Northwest Region","Pacific Northwest","freshwater","river","river","surfacewater","stream/river",2,"sm9213d","membranefiltration","membranefiltration",NA,NA,NA,NA
"60","shopaitrwqx","batch_144455","2008-09-02","id","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Columbia Unglaciated","Columbia Plateau","temperate floodplain rivers and wetlands","Deserts and Xeric Shrublands","Pacific Northwest Region","Middle Snake","Northwest Region","Pacific Northwest","freshwater","river","river","surfacewater","stream/river",32,"sm9213d","membranefiltration","membranefiltration",NA,NA,NA,NA
"61","shopaitrwqx","batch_144473","2008-05-05","id","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Columbia Unglaciated","Columbia Plateau","temperate floodplain rivers and wetlands","Deserts and Xeric Shrublands","Pacific Northwest Region","Middle Snake","Northwest Region","Pacific Northwest","freshwater","river","river","surfacewater","stream/river",46,"sm9213d","membranefiltration","membranefiltration",NA,NA,NA,NA
"62","shopaitrwqx","batch_144456","2008-05-05","id","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Columbia Unglaciated","Columbia Plateau","temperate floodplain rivers and wetlands","Deserts and Xeric Shrublands","Pacific Northwest Region","Middle Snake","Northwest Region","Pacific Northwest","freshwater","river","river","surfacewater","stream/river",46,"sm9213d","membranefiltration","membranefiltration",NA,NA,NA,NA
"63","shopaitrwqx","batch_144465","2008-11-11","id","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Columbia Unglaciated","Columbia Plateau","temperate floodplain rivers and wetlands","Deserts and Xeric Shrublands","Pacific Northwest Region","Middle Snake","Northwest Region","Pacific Northwest","freshwater","river","river","surfacewater","stream/river",14,"sm9213d","membranefiltration","membranefiltration",NA,NA,NA,NA
"64","shopaitrwqx","batch_144472","2008-09-02","id","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Columbia Unglaciated","Columbia Plateau","temperate floodplain rivers and wetlands","Deserts and Xeric Shrublands","Pacific Northwest Region","Middle Snake","Northwest Region","Pacific Northwest","freshwater","river","river","surfacewater","stream/river",32,"sm9213d","membranefiltration","membranefiltration",NA,NA,NA,NA
"65","shopaitrwqx","batch_144458","2008-02-18","id","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Columbia Unglaciated","Columbia Plateau","temperate floodplain rivers and wetlands","Deserts and Xeric Shrublands","Pacific Northwest Region","Middle Snake","Northwest Region","Pacific Northwest","freshwater","river","river","surfacewater","stream/river",2,"sm9213d","membranefiltration","membranefiltration",NA,NA,NA,NA
"66","shopaitrwqx","batch_144448","2008-11-11","id","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Columbia Unglaciated","Columbia Plateau","temperate floodplain rivers and wetlands","Deserts and Xeric Shrublands","Pacific Northwest Region","Middle Snake","Northwest Region","Pacific Northwest","freshwater","river","river","surfacewater","stream/river",14,"sm9213d","membranefiltration","membranefiltration",NA,NA,NA,NA
"67","shopaitrwqx","batch2_232183","2008-06-22","id","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Columbia Unglaciated","Columbia Plateau","temperate floodplain rivers and wetlands","Deserts and Xeric Shrublands","Pacific Northwest Region","Middle Snake","Northwest Region","Pacific Northwest","freshwater","pond","pond","surfacewater","pond/lake",2,"sm9213d","membranefiltration","membranefiltration",NA,NA,NA,NA
"68","shopaitrwqx","batch2_232184","2008-06-22","id","Mountain","NORTH AMERICAN DESERTS","COLD DESERTS","Columbia Unglaciated","Columbia Plateau","temperate floodplain rivers and wetlands","Deserts and Xeric Shrublands","Pacific Northwest Region","Middle Snake","Northwest Region","Pacific Northwest","freshwater","pond","pond","surfacewater","pond/lake",2,"sm9213d","membranefiltration","membranefiltration",NA,NA,NA,NA
