"","study_sh","scri_sample_id","date","state","cens.region","epa.l1.ecoreg","epa.l2.ecoreg","tnc.h2o.reg","tnc.terr.reg","h2o.habtat","terrhabtat","huc2.nm.nhd","usda.regions","epa.regions","fresh","water_type","water_typem","water_typeg","water_typec","sample_type","sample_filter","sal_pa","sal_vol","sal_molecular","sal_inva","sal_ttr","pec_pa","stec_pa","epec_pa","o157h7_pa","pec_vol","pec_molecular","pec_stx","pec_eaea","pec_rfb0157","pec_hly","pec_h7flic","ec","ec_methodf","ec_methodm","ec_methodc","entero","entero_methodf","entero_methodm","entero_methodc","tc","tc_methodf","tc_methodm","tc_methodc"
"11","zuf","zuf275","2012-12-05","fl","South Atlantic","EASTERN TEMPERATE FORESTS","MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS","Florida Peninsula","Florida Peninsula","tropical and subtropical coastal rivers","Temperate Conifer Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","pond","pond","surfacewater","pond/lake","grabsample","membrane",0,150,"molecular","y","n",0,"n","n","n",150,"molecular","y","y","y","y","y",70.8,"idexxquantitray","mpn","mpn",161.6,"idexxquantitray","mpn","mpn",129970,"idexxquantitray","mpn","mpn"
"12","zuf","zuf274","2012-11-28","fl","South Atlantic","EASTERN TEMPERATE FORESTS","MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS","Florida Peninsula","Florida Peninsula","tropical and subtropical coastal rivers","Temperate Conifer Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","pond","pond","surfacewater","pond/lake","grabsample","membrane",0,150,"molecular","y","n",1,"n","n","n",150,"molecular","y","y","y","y","y",41.4,"idexxquantitray","mpn","mpn",365.4,"idexxquantitray","mpn","mpn",6890,"idexxquantitray","mpn","mpn"
"13","zuf","zuf276","2012-12-12","fl","South Atlantic","EASTERN TEMPERATE FORESTS","MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS","Florida Peninsula","Florida Peninsula","tropical and subtropical coastal rivers","Temperate Conifer Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","pond","pond","surfacewater","pond/lake","grabsample","membrane",0,150,"molecular","y","n",1,"p","n","n",150,"molecular","y","y","y","y","y",167,"idexxquantitray","mpn","mpn",770.1,"idexxquantitray","mpn","mpn",43520,"idexxquantitray","mpn","mpn"
"14","zuf","zuf273","2012-11-21","fl","South Atlantic","EASTERN TEMPERATE FORESTS","MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS","Florida Peninsula","Florida Peninsula","tropical and subtropical coastal rivers","Temperate Conifer Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","pond","pond","surfacewater","pond/lake","grabsample","membrane",0,150,"molecular","y","n",1,"n","n","n",150,"molecular","y","y","y","y","y",95.9,"idexxquantitray","mpn","mpn",387.2,"idexxquantitray","mpn","mpn",9850,"idexxquantitray","mpn","mpn"
"15","zuf","zuf272","2012-11-14","fl","South Atlantic","EASTERN TEMPERATE FORESTS","MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS","Florida Peninsula","Florida Peninsula","tropical and subtropical coastal rivers","Temperate Conifer Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","pond","pond","surfacewater","pond/lake","grabsample","membrane",0,150,"molecular","y","n",1,"n","n","n",150,"molecular","y","y","y","y","y",67,"idexxquantitray","mpn","mpn",325.5,"idexxquantitray","mpn","mpn",6200,"idexxquantitray","mpn","mpn"
"16","zuf","zuf279","2012-12-26","fl","South Atlantic","EASTERN TEMPERATE FORESTS","MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS","Florida Peninsula","Florida Peninsula","tropical and subtropical coastal rivers","Temperate Conifer Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","pond","pond","surfacewater","pond/lake","grabsample","membrane",1,150,"molecular","y","n",1,"n","n","p",150,"molecular","y","y","y","y","y",365.4,"idexxquantitray","mpn","mpn",2920,"idexxquantitray","mpn","mpn",10460,"idexxquantitray","mpn","mpn"
"17","zuf","zuf278","2012-12-23","fl","South Atlantic","EASTERN TEMPERATE FORESTS","MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS","Florida Peninsula","Florida Peninsula","tropical and subtropical coastal rivers","Temperate Conifer Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","pond","pond","surfacewater","pond/lake","grabsample","membrane",1,150,"molecular","y","n",1,"p","n","n",150,"molecular","y","y","y","y","y",235,"idexxquantitray","mpn","mpn",1046.2,"idexxquantitray","mpn","mpn",26130,"idexxquantitray","mpn","mpn"
"18","zuf","zuf277","2012-12-19","fl","South Atlantic","EASTERN TEMPERATE FORESTS","MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS","Florida Peninsula","Florida Peninsula","tropical and subtropical coastal rivers","Temperate Conifer Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","pond","pond","surfacewater","pond/lake","grabsample","membrane",0,150,"molecular","y","n",1,"n","n","n",150,"molecular","y","y","y","y","y",135.4,"idexxquantitray","mpn","mpn",365.4,"idexxquantitray","mpn","mpn",83600,"idexxquantitray","mpn","mpn"
"19","zuf","zuf366","2012-12-12","fl","South Atlantic","EASTERN TEMPERATE FORESTS","MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS","Florida Peninsula","Florida Peninsula","tropical and subtropical coastal rivers","Temperate Conifer Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","pond","pond","surfacewater","pond/lake","grabsample","membrane",0,150,"molecular","y","n",1,"n","n","n",150,"molecular","y","y","y","y","y",31.8,"idexxquantitray","mpn","mpn",228.2,"idexxquantitray","mpn","mpn",5810,"idexxquantitray","mpn","mpn"
"20","zuf","zuf363","2012-11-21","fl","South Atlantic","EASTERN TEMPERATE FORESTS","MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS","Florida Peninsula","Florida Peninsula","tropical and subtropical coastal rivers","Temperate Conifer Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","pond","pond","surfacewater","pond/lake","grabsample","membrane",0,150,"molecular","y","n",1,"n","n","n",150,"molecular","y","y","y","y","y",11,"idexxquantitray","mpn","mpn",101.9,"idexxquantitray","mpn","mpn",7890,"idexxquantitray","mpn","mpn"
"21","zuf","zuf369","2012-12-26","fl","South Atlantic","EASTERN TEMPERATE FORESTS","MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS","Florida Peninsula","Florida Peninsula","tropical and subtropical coastal rivers","Temperate Conifer Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","pond","pond","surfacewater","pond/lake","grabsample","membrane",0,150,"molecular","y","n",1,"n","n","p",150,"molecular","y","y","y","y","y",209.8,"idexxquantitray","mpn","mpn",235.9,"idexxquantitray","mpn","mpn",10760,"idexxquantitray","mpn","mpn"
"22","zuf","zuf362","2012-11-14","fl","South Atlantic","EASTERN TEMPERATE FORESTS","MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS","Florida Peninsula","Florida Peninsula","tropical and subtropical coastal rivers","Temperate Conifer Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","pond","pond","surfacewater","pond/lake","grabsample","membrane",0,150,"molecular","y","n",1,"n","n","n",150,"molecular","y","y","y","y","y",3.1,"idexxquantitray","mpn","mpn",517.2,"idexxquantitray","mpn","mpn",8620,"idexxquantitray","mpn","mpn"
"23","zuf","zuf367","2012-12-19","fl","South Atlantic","EASTERN TEMPERATE FORESTS","MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS","Florida Peninsula","Florida Peninsula","tropical and subtropical coastal rivers","Temperate Conifer Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","pond","pond","surfacewater","pond/lake","grabsample","membrane",0,150,"molecular","y","n",1,"n","n","n",150,"molecular","y","y","y","y","y",191.8,"idexxquantitray","mpn","mpn",1299.7,"idexxquantitray","mpn","mpn",11060,"idexxquantitray","mpn","mpn"
"24","zuf","zuf361","2012-11-07","fl","South Atlantic","EASTERN TEMPERATE FORESTS","MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS","Florida Peninsula","Florida Peninsula","tropical and subtropical coastal rivers","Temperate Conifer Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","pond","pond","surfacewater","pond/lake","grabsample","membrane",0,150,"molecular","y","n",1,"n","n","n",150,"molecular","y","y","y","y","y",43.2,"idexxquantitray","mpn","mpn",204.6,"idexxquantitray","mpn","mpn",9600,"idexxquantitray","mpn","mpn"
"25","zuf","zuf365","2012-12-05","fl","South Atlantic","EASTERN TEMPERATE FORESTS","MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS","Florida Peninsula","Florida Peninsula","tropical and subtropical coastal rivers","Temperate Conifer Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","pond","pond","surfacewater","pond/lake","grabsample","membrane",0,150,"molecular","y","n",1,"n","n","n",150,"molecular","y","y","y","y","y",25.6,"idexxquantitray","mpn","mpn",38.8,"idexxquantitray","mpn","mpn",11120,"idexxquantitray","mpn","mpn"
"26","zuf","zuf364","2012-11-28","fl","South Atlantic","EASTERN TEMPERATE FORESTS","MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS","Florida Peninsula","Florida Peninsula","tropical and subtropical coastal rivers","Temperate Conifer Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","pond","pond","surfacewater","pond/lake","grabsample","membrane",0,150,"molecular","y","n",1,"n","n","p",150,"molecular","y","y","y","y","y",15.3,"idexxquantitray","mpn","mpn",365.4,"idexxquantitray","mpn","mpn",13340,"idexxquantitray","mpn","mpn"
"27","zuf","zuf368","2012-12-23","fl","South Atlantic","EASTERN TEMPERATE FORESTS","MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS","Florida Peninsula","Florida Peninsula","tropical and subtropical coastal rivers","Temperate Conifer Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","pond","pond","surfacewater","pond/lake","grabsample","membrane",0,150,"molecular","y","n",1,"p","p","n",150,"molecular","y","y","y","y","y",201.4,"idexxquantitray","mpn","mpn",461.1,"idexxquantitray","mpn","mpn",22240,"idexxquantitray","mpn","mpn"
"28","zuf","zuf459","2012-12-26","fl","South Atlantic","EASTERN TEMPERATE FORESTS","MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS","Florida Peninsula","Florida Peninsula","tropical and subtropical coastal rivers","Temperate Conifer Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","pond","pond","surfacewater","pond/lake","grabsample","membrane",0,150,"molecular","y","n",1,"p","n","n",150,"molecular","y","y","y","y","y",2,"idexxquantitray","mpn","mpn",343.6,"idexxquantitray","mpn","mpn",3990,"idexxquantitray","mpn","mpn"
"29","zuf","zuf458","2012-12-23","fl","South Atlantic","EASTERN TEMPERATE FORESTS","MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS","Florida Peninsula","Florida Peninsula","tropical and subtropical coastal rivers","Temperate Conifer Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","pond","pond","surfacewater","pond/lake","grabsample","membrane",0,150,"molecular","y","n",1,"p","p","n",150,"molecular","y","y","y","y","y",98.8,"idexxquantitray","mpn","mpn",2419.6,"idexxquantitray","mpn","mpn",157600,"idexxquantitray","mpn","mpn"
"30","zuf","zuf456","2012-12-12","fl","South Atlantic","EASTERN TEMPERATE FORESTS","MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS","Florida Peninsula","Florida Peninsula","tropical and subtropical coastal rivers","Temperate Conifer Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","pond","pond","surfacewater","pond/lake","grabsample","membrane",0,150,"molecular","y","n",1,"p","n","n",150,"molecular","y","y","y","y","y",1,"idexxquantitray","mpn","mpn",82.9,"idexxquantitray","mpn","mpn",9320,"idexxquantitray","mpn","mpn"
"31","zuf","zuf454","2012-11-28","fl","South Atlantic","EASTERN TEMPERATE FORESTS","MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS","Florida Peninsula","Florida Peninsula","tropical and subtropical coastal rivers","Temperate Conifer Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","pond","pond","surfacewater","pond/lake","grabsample","membrane",0,150,"molecular","y","n",1,"p","n","n",150,"molecular","y","y","y","y","y",1,"idexxquantitray","mpn","mpn",146.7,"idexxquantitray","mpn","mpn",12590,"idexxquantitray","mpn","mpn"
"32","zuf","zuf452","2012-11-14","fl","South Atlantic","EASTERN TEMPERATE FORESTS","MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS","Florida Peninsula","Florida Peninsula","tropical and subtropical coastal rivers","Temperate Conifer Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","pond","pond","surfacewater","pond/lake","grabsample","membrane",0,150,"molecular","y","n",1,"n","n","n",150,"molecular","y","y","y","y","y",160.7,"idexxquantitray","mpn","mpn",866.4,"idexxquantitray","mpn","mpn",20640,"idexxquantitray","mpn","mpn"
"33","zuf","zuf457","2012-12-19","fl","South Atlantic","EASTERN TEMPERATE FORESTS","MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS","Florida Peninsula","Florida Peninsula","tropical and subtropical coastal rivers","Temperate Conifer Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","pond","pond","surfacewater","pond/lake","grabsample","membrane",0,150,"molecular","y","n",1,"n","n","n",150,"molecular","y","y","y","y","y",1,"idexxquantitray","mpn","mpn",20.6,"idexxquantitray","mpn","mpn",3310,"idexxquantitray","mpn","mpn"
"34","zuf","zuf455","2012-12-05","fl","South Atlantic","EASTERN TEMPERATE FORESTS","MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS","Florida Peninsula","Florida Peninsula","tropical and subtropical coastal rivers","Temperate Conifer Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","pond","pond","surfacewater","pond/lake","grabsample","membrane",0,150,"molecular","y","n",0,"n","n","n",150,"molecular","y","y","y","y","y",1,"idexxquantitray","mpn","mpn",93.4,"idexxquantitray","mpn","mpn",6370,"idexxquantitray","mpn","mpn"
"35","zuf","zuf451","2012-11-07","fl","South Atlantic","EASTERN TEMPERATE FORESTS","MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS","Florida Peninsula","Florida Peninsula","tropical and subtropical coastal rivers","Temperate Conifer Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","pond","pond","surfacewater","pond/lake","grabsample","membrane",0,150,"molecular","y","n",1,"p","n","n",150,"molecular","y","y","y","y","y",8.6,"idexxquantitray","mpn","mpn",547.5,"idexxquantitray","mpn","mpn",17850,"idexxquantitray","mpn","mpn"
"36","zuf","zuf453","2012-11-21","fl","South Atlantic","EASTERN TEMPERATE FORESTS","MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS","Florida Peninsula","Florida Peninsula","tropical and subtropical coastal rivers","Temperate Conifer Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","pond","pond","surfacewater","pond/lake","grabsample","membrane",0,150,"molecular","y","n",1,"p","n","p",150,"molecular","y","y","y","y","y",2,"idexxquantitray","mpn","mpn",613.1,"idexxquantitray","mpn","mpn",20980,"idexxquantitray","mpn","mpn"
"37","zuf","zuf98","2012-12-23","fl","South Atlantic","EASTERN TEMPERATE FORESTS","MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS","Florida Peninsula","Florida Peninsula","tropical and subtropical coastal rivers","Temperate Conifer Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","pond","pond","surfacewater","pond/lake","grabsample","membrane",0,150,"molecular","y","n",1,"p","n","n",150,"molecular","y","y","y","y","y",325.5,"idexxquantitray","mpn","mpn",2419.6,"idexxquantitray","mpn","mpn",123600,"idexxquantitray","mpn","mpn"
"38","zuf","zuf95","2012-12-05","fl","South Atlantic","EASTERN TEMPERATE FORESTS","MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS","Florida Peninsula","Florida Peninsula","tropical and subtropical coastal rivers","Temperate Conifer Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","pond","pond","surfacewater","pond/lake","grabsample","membrane",0,150,"molecular","y","n",1,"p","n","n",150,"molecular","y","y","y","y","y",1,"idexxquantitray","mpn","mpn",524.7,"idexxquantitray","mpn","mpn",4350,"idexxquantitray","mpn","mpn"
"39","zuf","zuf92","2012-11-14","fl","South Atlantic","EASTERN TEMPERATE FORESTS","MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS","Florida Peninsula","Florida Peninsula","tropical and subtropical coastal rivers","Temperate Conifer Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","pond","pond","surfacewater","pond/lake","grabsample","membrane",0,150,"molecular","y","n",1,"n","n","n",150,"molecular","y","y","y","y","y",2,"idexxquantitray","mpn","mpn",124,"idexxquantitray","mpn","mpn",5940,"idexxquantitray","mpn","mpn"
"40","zuf","zuf91","2012-11-07","fl","South Atlantic","EASTERN TEMPERATE FORESTS","MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS","Florida Peninsula","Florida Peninsula","tropical and subtropical coastal rivers","Temperate Conifer Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","pond","pond","surfacewater","pond/lake","grabsample","membrane",0,150,"molecular","y","n",1,"p","n","n",150,"molecular","y","y","y","y","y",7.4,"idexxquantitray","mpn","mpn",46.5,"idexxquantitray","mpn","mpn",9340,"idexxquantitray","mpn","mpn"
"41","zuf","zuf94","2012-11-28","fl","South Atlantic","EASTERN TEMPERATE FORESTS","MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS","Florida Peninsula","Florida Peninsula","tropical and subtropical coastal rivers","Temperate Conifer Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","pond","pond","surfacewater","pond/lake","grabsample","membrane",0,150,"molecular","y","n",0,"n","n","n",150,"molecular","y","y","y","y","y",1,"idexxquantitray","mpn","mpn",2419.6,"idexxquantitray","mpn","mpn",10810,"idexxquantitray","mpn","mpn"
"42","zuf","zuf93","2012-11-21","fl","South Atlantic","EASTERN TEMPERATE FORESTS","MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS","Florida Peninsula","Florida Peninsula","tropical and subtropical coastal rivers","Temperate Conifer Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","pond","pond","surfacewater","pond/lake","grabsample","membrane",0,150,"molecular","y","n",1,"n","n","n",150,"molecular","y","y","y","y","y",7.4,"idexxquantitray","mpn","mpn",270,"idexxquantitray","mpn","mpn",8820,"idexxquantitray","mpn","mpn"
"43","zuf","zuf97","2012-12-19","fl","South Atlantic","EASTERN TEMPERATE FORESTS","MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS","Florida Peninsula","Florida Peninsula","tropical and subtropical coastal rivers","Temperate Conifer Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","pond","pond","surfacewater","pond/lake","grabsample","membrane",0,150,"molecular","y","n",1,"n","n","n",150,"molecular","y","y","y","y","y",1,"idexxquantitray","mpn","mpn",1203.3,"idexxquantitray","mpn","mpn",22820,"idexxquantitray","mpn","mpn"
"44","zuf","zuf96","2012-12-12","fl","South Atlantic","EASTERN TEMPERATE FORESTS","MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS","Florida Peninsula","Florida Peninsula","tropical and subtropical coastal rivers","Temperate Conifer Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","pond","pond","surfacewater","pond/lake","grabsample","membrane",0,150,"molecular","y","n",1,"p","n","n",150,"molecular","y","y","y","y","y",28.5,"idexxquantitray","mpn","mpn",2419.6,"idexxquantitray","mpn","mpn",27550,"idexxquantitray","mpn","mpn"
"45","zuf","zuf99","2012-12-26","fl","South Atlantic","EASTERN TEMPERATE FORESTS","MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS","Florida Peninsula","Florida Peninsula","tropical and subtropical coastal rivers","Temperate Conifer Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","pond","pond","surfacewater","pond/lake","grabsample","membrane",0,150,"molecular","y","n",1,"n","n","n",150,"molecular","y","y","y","y","y",30.1,"idexxquantitray","mpn","mpn",2419.6,"idexxquantitray","mpn","mpn",34480,"idexxquantitray","mpn","mpn"
"46","zuf","zuf201","2013-02-27","fl","South Atlantic","EASTERN TEMPERATE FORESTS","MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS","Florida Peninsula","Florida Peninsula","tropical and subtropical coastal rivers","Temperate Conifer Forests","South Atlantic-Gulf Region","Southern Region","Southeast","freshwater","pond","pond","surfacewater","pond/lake","grabsample","membrane",0,150,"molecular","y","n",1,"p","n","n",150,"molecular","y","y","y","y","y",1,"idexxquantitray","mpn","mpn",113.7,"idexxquantitray","mpn","mpn",4800,"idexxquantitray","mpn","mpn"
