"","study_sh","scri_sample_id","date","state","cens.region","epa.l1.ecoreg","epa.l2.ecoreg","tnc.h2o.reg","tnc.terr.reg","h2o.habtat","terrhabtat","huc2.nm.nhd","huc4.nm.nhd","usda.regions","epa.regions","fresh","water_type","water_typem","water_typeg","water_typec","sample_type","ec","ec_methodf","ec_methodm","ec_methodc","entero","entero_methodf","entero_methodm","entero_methodc"
"11","21guam","batchf_352698","1998-07-15","gu","Pacific Islands","caribbean","caribbean","Hawaiian Islands","Hawaiian High Islands: Hawaii Tropical Moist Forests","oceanic islands","Tropical and Subtropical Moist Broadleaf Forests","Hawaii Region","Oahu","Pacific","Pacific","freshwater","river","river","surfacewater","stream/river","grabsample",1,"epa1603","membranefiltration","membranefiltration",NA,NA,NA,NA
"12","21guam","batchf_352726","1998-06-30","gu","Pacific Islands","caribbean","caribbean","Hawaiian Islands","Hawaiian High Islands: Hawaii Tropical Moist Forests","oceanic islands","Tropical and Subtropical Moist Broadleaf Forests","Hawaii Region","Oahu","Pacific","Pacific","freshwater","river","river","surfacewater","stream/river","grabsample",740,"epa1603","membranefiltration","membranefiltration",NA,NA,NA,NA
"13","21guam","batchf_352647","1998-06-08","gu","Pacific Islands","caribbean","caribbean","Hawaiian Islands","Hawaiian High Islands: Hawaii Tropical Moist Forests","oceanic islands","Tropical and Subtropical Moist Broadleaf Forests","Hawaii Region","Oahu","Pacific","Pacific","freshwater","river","river","surfacewater","stream/river","grabsample",300,"epa1603","membranefiltration","membranefiltration",NA,NA,NA,NA
"14","21guam","batchf_352697","1998-06-21","gu","Pacific Islands","caribbean","caribbean","Hawaiian Islands","Hawaiian High Islands: Hawaii Tropical Moist Forests","oceanic islands","Tropical and Subtropical Moist Broadleaf Forests","Hawaii Region","Oahu","Pacific","Pacific","freshwater","river","river","surfacewater","stream/river","grabsample",1,"epa1603","membranefiltration","membranefiltration",NA,NA,NA,NA
"15","21guam","batchf_354020","1998-08-09","gu","Pacific Islands","caribbean","caribbean","Hawaiian Islands","Hawaiian High Islands: Hawaii Tropical Moist Forests","oceanic islands","Tropical and Subtropical Moist Broadleaf Forests","Hawaii Region","Oahu","Pacific","Pacific","freshwater","stream","stream","surfacewater","stream/river","grabsample",1160,"epa1603","membranefiltration","membranefiltration",NA,NA,NA,NA
"16","21guam","batchf_354017","1998-08-03","gu","Pacific Islands","caribbean","caribbean","Hawaiian Islands","Hawaiian High Islands: Hawaii Tropical Moist Forests","oceanic islands","Tropical and Subtropical Moist Broadleaf Forests","Hawaii Region","Oahu","Pacific","Pacific","freshwater","stream","stream","surfacewater","stream/river","grabsample",20,"epa1603","membranefiltration","membranefiltration",NA,NA,NA,NA
"17","21guam","batchf_354013","1998-07-15","gu","Pacific Islands","caribbean","caribbean","Hawaiian Islands","Hawaiian High Islands: Hawaii Tropical Moist Forests","oceanic islands","Tropical and Subtropical Moist Broadleaf Forests","Hawaii Region","Oahu","Pacific","Pacific","freshwater","stream","stream","surfacewater","stream/river","grabsample",20,"epa1603","membranefiltration","membranefiltration",NA,NA,NA,NA
"18","21guam","batchf_354018","1998-07-19","gu","Pacific Islands","caribbean","caribbean","Hawaiian Islands","Hawaiian High Islands: Hawaii Tropical Moist Forests","oceanic islands","Tropical and Subtropical Moist Broadleaf Forests","Hawaii Region","Oahu","Pacific","Pacific","freshwater","stream","stream","surfacewater","stream/river","grabsample",1,"epa1603","membranefiltration","membranefiltration",NA,NA,NA,NA
"19","21guam","batchf_354019","1998-07-27","gu","Pacific Islands","caribbean","caribbean","Hawaiian Islands","Hawaiian High Islands: Hawaii Tropical Moist Forests","oceanic islands","Tropical and Subtropical Moist Broadleaf Forests","Hawaii Region","Oahu","Pacific","Pacific","freshwater","stream","stream","surfacewater","stream/river","grabsample",133,"epa1603","membranefiltration","membranefiltration",NA,NA,NA,NA
"20","21guam","batchf_354014","1998-07-06","gu","Pacific Islands","caribbean","caribbean","Hawaiian Islands","Hawaiian High Islands: Hawaii Tropical Moist Forests","oceanic islands","Tropical and Subtropical Moist Broadleaf Forests","Hawaii Region","Oahu","Pacific","Pacific","freshwater","stream","stream","surfacewater","stream/river","grabsample",1,"epa1603","membranefiltration","membranefiltration",NA,NA,NA,NA
"21","21guam","batchf_354415","1998-06-30","gu","Pacific Islands","caribbean","caribbean","Hawaiian Islands","Hawaiian High Islands: Hawaii Tropical Moist Forests","oceanic islands","Tropical and Subtropical Moist Broadleaf Forests","Hawaii Region","Oahu","Pacific","Pacific","freshwater","stream","stream","surfacewater","stream/river","grabsample",1,"epa1603","membranefiltration","membranefiltration",NA,NA,NA,NA
"22","21guam","batchf_354352","1998-06-08","gu","Pacific Islands","caribbean","caribbean","Hawaiian Islands","Hawaiian High Islands: Hawaii Tropical Moist Forests","oceanic islands","Tropical and Subtropical Moist Broadleaf Forests","Hawaii Region","Oahu","Pacific","Pacific","freshwater","stream","stream","surfacewater","stream/river","grabsample",1,"epa1603","membranefiltration","membranefiltration",NA,NA,NA,NA
"23","21guam","batchf_354182","1998-12-27","gu","Pacific Islands","caribbean","caribbean","Hawaiian Islands","Hawaiian High Islands: Hawaii Tropical Moist Forests","oceanic islands","Tropical and Subtropical Moist Broadleaf Forests","Hawaii Region","Oahu","Pacific","Pacific","freshwater","stream","stream","surfacewater","stream/river","grabsample",1,"epa1603","membranefiltration","membranefiltration",NA,NA,NA,NA
"24","21guam","batchf_354206","1998-12-06","gu","Pacific Islands","caribbean","caribbean","Hawaiian Islands","Hawaiian High Islands: Hawaii Tropical Moist Forests","oceanic islands","Tropical and Subtropical Moist Broadleaf Forests","Hawaii Region","Oahu","Pacific","Pacific","freshwater","stream","stream","surfacewater","stream/river","grabsample",1,"epa1603","membranefiltration","membranefiltration",NA,NA,NA,NA
"25","21guam","batchf_354355","1998-06-21","gu","Pacific Islands","caribbean","caribbean","Hawaiian Islands","Hawaiian High Islands: Hawaii Tropical Moist Forests","oceanic islands","Tropical and Subtropical Moist Broadleaf Forests","Hawaii Region","Oahu","Pacific","Pacific","freshwater","stream","stream","surfacewater","stream/river","grabsample",100,"epa1603","membranefiltration","membranefiltration",NA,NA,NA,NA
"26","21guam","batchf_354205","1998-12-13","gu","Pacific Islands","caribbean","caribbean","Hawaiian Islands","Hawaiian High Islands: Hawaii Tropical Moist Forests","oceanic islands","Tropical and Subtropical Moist Broadleaf Forests","Hawaii Region","Oahu","Pacific","Pacific","freshwater","stream","stream","surfacewater","stream/river","grabsample",100,"epa1603","membranefiltration","membranefiltration",NA,NA,NA,NA
"27","21guam","batchf_354181","1998-11-30","gu","Pacific Islands","caribbean","caribbean","Hawaiian Islands","Hawaiian High Islands: Hawaii Tropical Moist Forests","oceanic islands","Tropical and Subtropical Moist Broadleaf Forests","Hawaii Region","Oahu","Pacific","Pacific","freshwater","stream","stream","surfacewater","stream/river","grabsample",120,"epa1603","membranefiltration","membranefiltration",NA,NA,NA,NA
"28","21guam","batchf_354416","1998-07-15","gu","Pacific Islands","caribbean","caribbean","Hawaiian Islands","Hawaiian High Islands: Hawaii Tropical Moist Forests","oceanic islands","Tropical and Subtropical Moist Broadleaf Forests","Hawaii Region","Oahu","Pacific","Pacific","freshwater","stream","stream","surfacewater","stream/river","grabsample",167,"epa1603","membranefiltration","membranefiltration",NA,NA,NA,NA
"29","21guam","batchf_354351","1998-06-15","gu","Pacific Islands","caribbean","caribbean","Hawaiian Islands","Hawaiian High Islands: Hawaii Tropical Moist Forests","oceanic islands","Tropical and Subtropical Moist Broadleaf Forests","Hawaii Region","Oahu","Pacific","Pacific","freshwater","stream","stream","surfacewater","stream/river","grabsample",300,"epa1603","membranefiltration","membranefiltration",NA,NA,NA,NA
"30","21guam","batchf_354356","1998-07-08","gu","Pacific Islands","caribbean","caribbean","Hawaiian Islands","Hawaiian High Islands: Hawaii Tropical Moist Forests","oceanic islands","Tropical and Subtropical Moist Broadleaf Forests","Hawaii Region","Oahu","Pacific","Pacific","freshwater","stream","stream","surfacewater","stream/river","grabsample",1,"epa1603","membranefiltration","membranefiltration",NA,NA,NA,NA
"31","21guam","batchf_351820","1998-12-13","gu","Pacific Islands","caribbean","caribbean","Hawaiian Islands","Hawaiian High Islands: Hawaii Tropical Moist Forests","oceanic islands","Tropical and Subtropical Moist Broadleaf Forests","Hawaii Region","Oahu","Pacific","Pacific","freshwater","stream","stream","surfacewater","stream/river","grabsample",27,"epa1603","membranefiltration","membranefiltration",NA,NA,NA,NA
"32","21guam","batchf_351822","1998-11-30","gu","Pacific Islands","caribbean","caribbean","Hawaiian Islands","Hawaiian High Islands: Hawaii Tropical Moist Forests","oceanic islands","Tropical and Subtropical Moist Broadleaf Forests","Hawaii Region","Oahu","Pacific","Pacific","freshwater","stream","stream","surfacewater","stream/river","grabsample",1400,"epa1603","membranefiltration","membranefiltration",NA,NA,NA,NA
"33","21guam","batchf_351975","1998-06-15","gu","Pacific Islands","caribbean","caribbean","Hawaiian Islands","Hawaiian High Islands: Hawaii Tropical Moist Forests","oceanic islands","Tropical and Subtropical Moist Broadleaf Forests","Hawaii Region","Oahu","Pacific","Pacific","freshwater","stream","stream","surfacewater","stream/river","grabsample",60,"epa1603","membranefiltration","membranefiltration",NA,NA,NA,NA
"34","21guam","batchf_351977","1998-06-30","gu","Pacific Islands","caribbean","caribbean","Hawaiian Islands","Hawaiian High Islands: Hawaii Tropical Moist Forests","oceanic islands","Tropical and Subtropical Moist Broadleaf Forests","Hawaii Region","Oahu","Pacific","Pacific","freshwater","stream","stream","surfacewater","stream/river","grabsample",60,"epa1603","membranefiltration","membranefiltration",NA,NA,NA,NA
"35","21guam","batchf_351921","1998-12-06","gu","Pacific Islands","caribbean","caribbean","Hawaiian Islands","Hawaiian High Islands: Hawaii Tropical Moist Forests","oceanic islands","Tropical and Subtropical Moist Broadleaf Forests","Hawaii Region","Oahu","Pacific","Pacific","freshwater","stream","stream","surfacewater","stream/river","grabsample",433,"epa1603","membranefiltration","membranefiltration",NA,NA,NA,NA
"36","21guam","batchf_351976","1998-06-21","gu","Pacific Islands","caribbean","caribbean","Hawaiian Islands","Hawaiian High Islands: Hawaii Tropical Moist Forests","oceanic islands","Tropical and Subtropical Moist Broadleaf Forests","Hawaii Region","Oahu","Pacific","Pacific","freshwater","stream","stream","surfacewater","stream/river","grabsample",9300,"epa1603","membranefiltration","membranefiltration",NA,NA,NA,NA
"37","21guam","batchf_351979","1998-07-15","gu","Pacific Islands","caribbean","caribbean","Hawaiian Islands","Hawaiian High Islands: Hawaii Tropical Moist Forests","oceanic islands","Tropical and Subtropical Moist Broadleaf Forests","Hawaii Region","Oahu","Pacific","Pacific","freshwater","stream","stream","surfacewater","stream/river","grabsample",172517,"epa1603","membranefiltration","membranefiltration",NA,NA,NA,NA
"38","21guam","batchf_351978","1998-07-08","gu","Pacific Islands","caribbean","caribbean","Hawaiian Islands","Hawaiian High Islands: Hawaii Tropical Moist Forests","oceanic islands","Tropical and Subtropical Moist Broadleaf Forests","Hawaii Region","Oahu","Pacific","Pacific","freshwater","stream","stream","surfacewater","stream/river","grabsample",60,"epa1603","membranefiltration","membranefiltration",NA,NA,NA,NA
"39","21guam","batchf_351922","1998-06-08","gu","Pacific Islands","caribbean","caribbean","Hawaiian Islands","Hawaiian High Islands: Hawaii Tropical Moist Forests","oceanic islands","Tropical and Subtropical Moist Broadleaf Forests","Hawaii Region","Oahu","Pacific","Pacific","freshwater","stream","stream","surfacewater","stream/river","grabsample",60,"epa1603","membranefiltration","membranefiltration",NA,NA,NA,NA
"40","21guam","batchf_351821","1998-12-27","gu","Pacific Islands","caribbean","caribbean","Hawaiian Islands","Hawaiian High Islands: Hawaii Tropical Moist Forests","oceanic islands","Tropical and Subtropical Moist Broadleaf Forests","Hawaii Region","Oahu","Pacific","Pacific","freshwater","stream","stream","surfacewater","stream/river","grabsample",133,"epa1603","membranefiltration","membranefiltration",NA,NA,NA,NA
"41","21guam","batchf_352973","1998-06-08","gu","Pacific Islands","caribbean","caribbean","Hawaiian Islands","Hawaiian High Islands: Hawaii Tropical Moist Forests","oceanic islands","Tropical and Subtropical Moist Broadleaf Forests","Hawaii Region","Oahu","Pacific","Pacific","freshwater","river","river","surfacewater","stream/river","grabsample",4500,"epa1603","membranefiltration","membranefiltration",NA,NA,NA,NA
"42","21guam","batchf_352967","1998-12-13","gu","Pacific Islands","caribbean","caribbean","Hawaiian Islands","Hawaiian High Islands: Hawaii Tropical Moist Forests","oceanic islands","Tropical and Subtropical Moist Broadleaf Forests","Hawaii Region","Oahu","Pacific","Pacific","freshwater","river","river","surfacewater","stream/river","grabsample",1533,"epa1603","membranefiltration","membranefiltration",NA,NA,NA,NA
"43","21guam","batchf_352968","1998-12-27","gu","Pacific Islands","caribbean","caribbean","Hawaiian Islands","Hawaiian High Islands: Hawaii Tropical Moist Forests","oceanic islands","Tropical and Subtropical Moist Broadleaf Forests","Hawaii Region","Oahu","Pacific","Pacific","freshwater","river","river","surfacewater","stream/river","grabsample",1000,"epa1603","membranefiltration","membranefiltration",NA,NA,NA,NA
"44","21guam","batchf_352966","1998-06-15","gu","Pacific Islands","caribbean","caribbean","Hawaiian Islands","Hawaiian High Islands: Hawaii Tropical Moist Forests","oceanic islands","Tropical and Subtropical Moist Broadleaf Forests","Hawaii Region","Oahu","Pacific","Pacific","freshwater","river","river","surfacewater","stream/river","grabsample",1,"epa1603","membranefiltration","membranefiltration",NA,NA,NA,NA
"45","21guam","batchf_352974","1998-06-21","gu","Pacific Islands","caribbean","caribbean","Hawaiian Islands","Hawaiian High Islands: Hawaii Tropical Moist Forests","oceanic islands","Tropical and Subtropical Moist Broadleaf Forests","Hawaii Region","Oahu","Pacific","Pacific","freshwater","river","river","surfacewater","stream/river","grabsample",1,"epa1603","membranefiltration","membranefiltration",NA,NA,NA,NA
"46","21guam","batchf_352977","1998-07-15","gu","Pacific Islands","caribbean","caribbean","Hawaiian Islands","Hawaiian High Islands: Hawaii Tropical Moist Forests","oceanic islands","Tropical and Subtropical Moist Broadleaf Forests","Hawaii Region","Oahu","Pacific","Pacific","freshwater","river","river","surfacewater","stream/river","grabsample",2700,"epa1603","membranefiltration","membranefiltration",NA,NA,NA,NA
"47","21guam","batchf_352976","1998-06-30","gu","Pacific Islands","caribbean","caribbean","Hawaiian Islands","Hawaiian High Islands: Hawaii Tropical Moist Forests","oceanic islands","Tropical and Subtropical Moist Broadleaf Forests","Hawaii Region","Oahu","Pacific","Pacific","freshwater","river","river","surfacewater","stream/river","grabsample",1,"epa1603","membranefiltration","membranefiltration",NA,NA,NA,NA
"48","21guam","batchf_352972","1998-12-06","gu","Pacific Islands","caribbean","caribbean","Hawaiian Islands","Hawaiian High Islands: Hawaii Tropical Moist Forests","oceanic islands","Tropical and Subtropical Moist Broadleaf Forests","Hawaii Region","Oahu","Pacific","Pacific","freshwater","river","river","surfacewater","stream/river","grabsample",60,"epa1603","membranefiltration","membranefiltration",NA,NA,NA,NA
"49","21guam","batchf_352975","1998-07-08","gu","Pacific Islands","caribbean","caribbean","Hawaiian Islands","Hawaiian High Islands: Hawaii Tropical Moist Forests","oceanic islands","Tropical and Subtropical Moist Broadleaf Forests","Hawaii Region","Oahu","Pacific","Pacific","freshwater","river","river","surfacewater","stream/river","grabsample",1,"epa1603","membranefiltration","membranefiltration",NA,NA,NA,NA
"50","21guam","batchf_352971","1998-11-30","gu","Pacific Islands","caribbean","caribbean","Hawaiian Islands","Hawaiian High Islands: Hawaii Tropical Moist Forests","oceanic islands","Tropical and Subtropical Moist Broadleaf Forests","Hawaii Region","Oahu","Pacific","Pacific","freshwater","river","river","surfacewater","stream/river","grabsample",880,"epa1603","membranefiltration","membranefiltration",NA,NA,NA,NA
"51","21guam","batchf_353092","1998-06-30","gu","Pacific Islands","caribbean","caribbean","Hawaiian Islands","Hawaiian High Islands: Hawaii Tropical Moist Forests","oceanic islands","Tropical and Subtropical Moist Broadleaf Forests","Hawaii Region","Oahu","Pacific","Pacific","freshwater","stream","stream","surfacewater","stream/river","grabsample",540,"epa1603","membranefiltration","membranefiltration",NA,NA,NA,NA
"52","21guam","batchf_353089","1998-11-30","gu","Pacific Islands","caribbean","caribbean","Hawaiian Islands","Hawaiian High Islands: Hawaii Tropical Moist Forests","oceanic islands","Tropical and Subtropical Moist Broadleaf Forests","Hawaii Region","Oahu","Pacific","Pacific","freshwater","stream","stream","surfacewater","stream/river","grabsample",640,"epa1603","membranefiltration","membranefiltration",NA,NA,NA,NA
"53","21guam","batchf_353085","1998-12-06","gu","Pacific Islands","caribbean","caribbean","Hawaiian Islands","Hawaiian High Islands: Hawaii Tropical Moist Forests","oceanic islands","Tropical and Subtropical Moist Broadleaf Forests","Hawaii Region","Oahu","Pacific","Pacific","freshwater","stream","stream","surfacewater","stream/river","grabsample",100,"epa1603","membranefiltration","membranefiltration",NA,NA,NA,NA
"54","21guam","batchf_353070","1998-12-27","gu","Pacific Islands","caribbean","caribbean","Hawaiian Islands","Hawaiian High Islands: Hawaii Tropical Moist Forests","oceanic islands","Tropical and Subtropical Moist Broadleaf Forests","Hawaii Region","Oahu","Pacific","Pacific","freshwater","stream","stream","surfacewater","stream/river","grabsample",67,"epa1603","membranefiltration","membranefiltration",NA,NA,NA,NA
"55","21guam","batchf_353091","1998-07-15","gu","Pacific Islands","caribbean","caribbean","Hawaiian Islands","Hawaiian High Islands: Hawaii Tropical Moist Forests","oceanic islands","Tropical and Subtropical Moist Broadleaf Forests","Hawaii Region","Oahu","Pacific","Pacific","freshwater","stream","stream","surfacewater","stream/river","grabsample",217,"epa1603","membranefiltration","membranefiltration",NA,NA,NA,NA
"56","21guam","batchf_353086","1998-12-13","gu","Pacific Islands","caribbean","caribbean","Hawaiian Islands","Hawaiian High Islands: Hawaii Tropical Moist Forests","oceanic islands","Tropical and Subtropical Moist Broadleaf Forests","Hawaii Region","Oahu","Pacific","Pacific","freshwater","stream","stream","surfacewater","stream/river","grabsample",150,"epa1603","membranefiltration","membranefiltration",NA,NA,NA,NA
"57","21guam","batchf_353090","1998-07-08","gu","Pacific Islands","caribbean","caribbean","Hawaiian Islands","Hawaiian High Islands: Hawaii Tropical Moist Forests","oceanic islands","Tropical and Subtropical Moist Broadleaf Forests","Hawaii Region","Oahu","Pacific","Pacific","freshwater","stream","stream","surfacewater","stream/river","grabsample",1,"epa1603","membranefiltration","membranefiltration",NA,NA,NA,NA
"58","21guam","batchf_354177","1998-08-09","gu","Pacific Islands","caribbean","caribbean","Hawaiian Islands","Hawaiian High Islands: Hawaii Tropical Moist Forests","oceanic islands","Tropical and Subtropical Moist Broadleaf Forests","Hawaii Region","Oahu","Pacific","Pacific","freshwater","river","river","surfacewater","stream/river","grabsample",1,"epa1603","membranefiltration","membranefiltration",NA,NA,NA,NA
"59","21guam","batchf_354156","1998-08-03","gu","Pacific Islands","caribbean","caribbean","Hawaiian Islands","Hawaiian High Islands: Hawaii Tropical Moist Forests","oceanic islands","Tropical and Subtropical Moist Broadleaf Forests","Hawaii Region","Oahu","Pacific","Pacific","freshwater","river","river","surfacewater","stream/river","grabsample",1,"epa1603","membranefiltration","membranefiltration",NA,NA,NA,NA
"60","21guam","batchf_354179","1998-07-27","gu","Pacific Islands","caribbean","caribbean","Hawaiian Islands","Hawaiian High Islands: Hawaii Tropical Moist Forests","oceanic islands","Tropical and Subtropical Moist Broadleaf Forests","Hawaii Region","Oahu","Pacific","Pacific","freshwater","river","river","surfacewater","stream/river","grabsample",300,"epa1603","membranefiltration","membranefiltration",NA,NA,NA,NA
"61","21guam","batchf_354178","1998-07-19","gu","Pacific Islands","caribbean","caribbean","Hawaiian Islands","Hawaiian High Islands: Hawaii Tropical Moist Forests","oceanic islands","Tropical and Subtropical Moist Broadleaf Forests","Hawaii Region","Oahu","Pacific","Pacific","freshwater","river","river","surfacewater","stream/river","grabsample",40,"epa1603","membranefiltration","membranefiltration",NA,NA,NA,NA
"62","21guam","batchf_354155","1998-07-15","gu","Pacific Islands","caribbean","caribbean","Hawaiian Islands","Hawaiian High Islands: Hawaii Tropical Moist Forests","oceanic islands","Tropical and Subtropical Moist Broadleaf Forests","Hawaii Region","Oahu","Pacific","Pacific","freshwater","river","river","surfacewater","stream/river","grabsample",360,"epa1603","membranefiltration","membranefiltration",NA,NA,NA,NA
"63","21guam","batchf_354085","1998-08-09","gu","Pacific Islands","caribbean","caribbean","Hawaiian Islands","Hawaiian High Islands: Hawaii Tropical Moist Forests","oceanic islands","Tropical and Subtropical Moist Broadleaf Forests","Hawaii Region","Oahu","Pacific","Pacific","freshwater","stream","stream","surfacewater","stream/river","grabsample",1,"epa1603","membranefiltration","membranefiltration",NA,NA,NA,NA
"64","21guam","batchf_354145","1998-07-19","gu","Pacific Islands","caribbean","caribbean","Hawaiian Islands","Hawaiian High Islands: Hawaii Tropical Moist Forests","oceanic islands","Tropical and Subtropical Moist Broadleaf Forests","Hawaii Region","Oahu","Pacific","Pacific","freshwater","stream","stream","surfacewater","stream/river","grabsample",1,"epa1603","membranefiltration","membranefiltration",NA,NA,NA,NA
"65","21guam","batchf_354046","1998-08-03","gu","Pacific Islands","caribbean","caribbean","Hawaiian Islands","Hawaiian High Islands: Hawaii Tropical Moist Forests","oceanic islands","Tropical and Subtropical Moist Broadleaf Forests","Hawaii Region","Oahu","Pacific","Pacific","freshwater","stream","stream","surfacewater","stream/river","grabsample",60,"epa1603","membranefiltration","membranefiltration",NA,NA,NA,NA
"66","21guam","batchf_354086","1998-07-06","gu","Pacific Islands","caribbean","caribbean","Hawaiian Islands","Hawaiian High Islands: Hawaii Tropical Moist Forests","oceanic islands","Tropical and Subtropical Moist Broadleaf Forests","Hawaii Region","Oahu","Pacific","Pacific","freshwater","stream","stream","surfacewater","stream/river","grabsample",1,"epa1603","membranefiltration","membranefiltration",NA,NA,NA,NA
"67","21guam","batchf_354146","1998-07-27","gu","Pacific Islands","caribbean","caribbean","Hawaiian Islands","Hawaiian High Islands: Hawaii Tropical Moist Forests","oceanic islands","Tropical and Subtropical Moist Broadleaf Forests","Hawaii Region","Oahu","Pacific","Pacific","freshwater","stream","stream","surfacewater","stream/river","grabsample",20,"epa1603","membranefiltration","membranefiltration",NA,NA,NA,NA
"68","21guam","batchf_354045","1998-07-15","gu","Pacific Islands","caribbean","caribbean","Hawaiian Islands","Hawaiian High Islands: Hawaii Tropical Moist Forests","oceanic islands","Tropical and Subtropical Moist Broadleaf Forests","Hawaii Region","Oahu","Pacific","Pacific","freshwater","stream","stream","surfacewater","stream/river","grabsample",20,"epa1603","membranefiltration","membranefiltration",NA,NA,NA,NA
"69","21guam","batchf_352251","1998-07-06","gu","Pacific Islands","caribbean","caribbean","Hawaiian Islands","Hawaiian High Islands: Hawaii Tropical Moist Forests","oceanic islands","Tropical and Subtropical Moist Broadleaf Forests","Hawaii Region","Oahu","Pacific","Pacific","freshwater","river","river","surfacewater","stream/river","grabsample",1720,"epa1603","membranefiltration","membranefiltration",NA,NA,NA,NA
"70","21guam","batchf_352255","1998-07-19","gu","Pacific Islands","caribbean","caribbean","Hawaiian Islands","Hawaiian High Islands: Hawaii Tropical Moist Forests","oceanic islands","Tropical and Subtropical Moist Broadleaf Forests","Hawaii Region","Oahu","Pacific","Pacific","freshwater","river","river","surfacewater","stream/river","grabsample",1,"epa1603","membranefiltration","membranefiltration",NA,NA,NA,NA
