"","scri_sample_id","sample_type","sample_filter","ec","ec_methodf","ec_methodm","ec_methodc","entero","entero_methodf","entero_methodm","entero_methodc","fc","fc_methodf","fc_methodm","fc_methodc"
"25","cmc_2153","grabsample","none",50,"idexxquantitray","mpn","mpn",60,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"26","cmc_2167","grabsample","none",310,"idexxquantitray","mpn","mpn",250,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"27","cmc_2112","grabsample","none",80,"idexxquantitray","mpn","mpn",100,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"28","cmc_2116","grabsample","none",260,"idexxquantitray","mpn","mpn",190,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"29","cmc_2109","grabsample","none",90,"idexxquantitray","mpn","mpn",50,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"30","cmc_2124","grabsample","none",490,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"31","cmc_2108","grabsample","none",40,"idexxquantitray","mpn","mpn",50,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"32","cmc_2118","grabsample","none",60,"idexxquantitray","mpn","mpn",300,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"33","cmc_2133","grabsample","none",250,"idexxquantitray","mpn","mpn",190,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"34","cmc_2135","grabsample","none",800,"idexxquantitray","mpn","mpn",290,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"35","cmc_2134","grabsample","none",800,"idexxquantitray","mpn","mpn",200,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"36","cmc_2140","grabsample","none",430,"idexxquantitray","mpn","mpn",390,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"37","cmc_2125","grabsample","none",50,"idexxquantitray","mpn","mpn",30,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"38","cmc_2126","grabsample","none",140,"idexxquantitray","mpn","mpn",60,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"39","cmc_2127","grabsample","none",220,"idexxquantitray","mpn","mpn",100,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"40","cmc_3082","grabsample","none",420,"idexxquantitray","mpn","mpn",170,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"41","cmc_3084","grabsample","none",270,"idexxquantitray","mpn","mpn",200,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"42","cmc_3081","grabsample","none",210,"idexxquantitray","mpn","mpn",150,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"43","cmc_3086","grabsample","none",800,"idexxquantitray","mpn","mpn",800,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"44","cmc_2476","grabsample","none",230,"idexxquantitray","mpn","mpn",160,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"45","cmc_2477","grabsample","none",220,"idexxquantitray","mpn","mpn",220,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"46","cmc_2479","grabsample","none",800,"idexxquantitray","mpn","mpn",630,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"47","cmc_2478","grabsample","none",430,"idexxquantitray","mpn","mpn",230,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"48","cmc_2987","grabsample","none",120,"idexxquantitray","mpn","mpn",190,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"49","cmc_2977","grabsample","none",220,"idexxquantitray","mpn","mpn",110,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"50","cmc_2986","grabsample","none",110,"idexxquantitray","mpn","mpn",190,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"51","cmc_2999","grabsample","none",200,"idexxquantitray","mpn","mpn",490,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"52","cmc_3000","grabsample","none",200,"idexxquantitray","mpn","mpn",490,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"53","cmc_2979","grabsample","none",90,"idexxquantitray","mpn","mpn",140,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"54","cmc_2980","grabsample","none",130,"idexxquantitray","mpn","mpn",140,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"55","cmc_2991","grabsample","none",150,"idexxquantitray","mpn","mpn",230,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"56","cmc_2978","grabsample","none",90,"idexxquantitray","mpn","mpn",130,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"57","cmc_2971","grabsample","none",0,"idexxquantitray","mpn","mpn",0,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"58","cmc_3009","grabsample","none",0.7,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"59","cmc_2998","grabsample","none",240,"idexxquantitray","mpn","mpn",470,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"60","cmc_2988","grabsample","none",310,"idexxquantitray","mpn","mpn",220,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"61","cmc_2976","grabsample","none",170,"idexxquantitray","mpn","mpn",80,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"62","cmc_3056","grabsample","none",610,"idexxquantitray","mpn","mpn",460,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"63","cmc_3060","grabsample","none",330,"idexxquantitray","mpn","mpn",600,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"64","cmc_3050","grabsample","none",320,"idexxquantitray","mpn","mpn",300,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"65","cmc_3068","grabsample","none",770,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"66","cmc_3042","grabsample","none",240,"idexxquantitray","mpn","mpn",110,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"67","cmc_3048","grabsample","none",230,"idexxquantitray","mpn","mpn",290,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"68","cmc_3039","grabsample","none",220,"idexxquantitray","mpn","mpn",50,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"69","cmc_3051","grabsample","none",270,"idexxquantitray","mpn","mpn",320,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"70","cmc_3052","grabsample","none",330,"idexxquantitray","mpn","mpn",320,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"71","cmc_3040","grabsample","none",50,"idexxquantitray","mpn","mpn",80,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"72","cmc_2482","grabsample","none",100,"idexxquantitray","mpn","mpn",140,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"73","cmc_4161","grabsample","none",70,"idexxquantitray","mpn","mpn",120,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"74","cmc_4171","grabsample","none",170,"idexxquantitray","mpn","mpn",340,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"75","cmc_4182","grabsample","none",800,"idexxquantitray","mpn","mpn",800,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"76","cmc_4173","grabsample","none",230,"idexxquantitray","mpn","mpn",370,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"77","cmc_4160","grabsample","none",30,"idexxquantitray","mpn","mpn",70,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"78","cmc_4174","grabsample","none",180,"idexxquantitray","mpn","mpn",440,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"79","cmc_4167","grabsample","none",120,"idexxquantitray","mpn","mpn",290,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"80","cmc_4178","grabsample","none",150,"idexxquantitray","mpn","mpn",610,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"81","cmc_4168","grabsample","none",150,"idexxquantitray","mpn","mpn",290,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"82","cmc_4180","grabsample","none",590,"idexxquantitray","mpn","mpn",770,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"83","cmc_4181","grabsample","none",800,"idexxquantitray","mpn","mpn",790,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"84","cmc_2171","grabsample","none",110,"idexxquantitray","mpn","mpn",360,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"85","cmc_2169","grabsample","none",210,"idexxquantitray","mpn","mpn",350,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"86","cmc_2174","grabsample","none",240,"idexxquantitray","mpn","mpn",750,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"87","cmc_2160","grabsample","none",110,"idexxquantitray","mpn","mpn",160,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"88","cmc_2164","grabsample","none",520,"idexxquantitray","mpn","mpn",200,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"89","cmc_2173","grabsample","none",20,"idexxquantitray","mpn","mpn",640,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"90","cmc_2148","grabsample","none",60,"idexxquantitray","mpn","mpn",40,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"91","cmc_2175","grabsample","none",50,"idexxquantitray","mpn","mpn",800,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"92","cmc_2177","grabsample","none",800,"idexxquantitray","mpn","mpn",800,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"93","cmc_2159","grabsample","none",60,"idexxquantitray","mpn","mpn",140,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"94","cmc_2106","grabsample","none",410,"idexxquantitray","mpn","mpn",10,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"95","cmc_2114","grabsample","none",20,"idexxquantitray","mpn","mpn",160,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"96","cmc_2111","grabsample","none",10,"idexxquantitray","mpn","mpn",90,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"97","cmc_2107","grabsample","none",230,"idexxquantitray","mpn","mpn",40,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"98","cmc_2117","grabsample","none",50,"idexxquantitray","mpn","mpn",240,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"99","cmc_2120","grabsample","none",10,"idexxquantitray","mpn","mpn",390,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"100","cmc_2121","grabsample","none",60,"idexxquantitray","mpn","mpn",520,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"101","cmc_2128","grabsample","none",70,"idexxquantitray","mpn","mpn",110,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"102","cmc_2130","grabsample","none",130,"idexxquantitray","mpn","mpn",140,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"103","cmc_2136","grabsample","none",90,"idexxquantitray","mpn","mpn",350,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"104","cmc_2138","grabsample","none",180,"idexxquantitray","mpn","mpn",390,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"105","cmc_2137","grabsample","none",150,"idexxquantitray","mpn","mpn",360,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"106","cmc_2129","grabsample","none",720,"idexxquantitray","mpn","mpn",130,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"107","cmc_3085","grabsample","none",150,"idexxquantitray","mpn","mpn",390,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"108","cmc_2474","grabsample","none",30,"idexxquantitray","mpn","mpn",30,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"109","cmc_3003","grabsample","none",530,"idexxquantitray","mpn","mpn",750,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"110","cmc_3001","grabsample","none",30,"idexxquantitray","mpn","mpn",520,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"111","cmc_2989","grabsample","none",100,"idexxquantitray","mpn","mpn",230,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"112","cmc_2996","grabsample","none",800,"idexxquantitray","mpn","mpn",410,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"113","cmc_3006","grabsample","none",140,"idexxquantitray","mpn","mpn",800,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"114","cmc_2997","grabsample","none",220,"idexxquantitray","mpn","mpn",420,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"115","cmc_3005","grabsample","none",140,"idexxquantitray","mpn","mpn",800,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"116","cmc_2982","grabsample","none",390,"idexxquantitray","mpn","mpn",160,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"117","cmc_2973","grabsample","none",10,"idexxquantitray","mpn","mpn",20,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"118","cmc_2993","grabsample","none",150,"idexxquantitray","mpn","mpn",280,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"119","cmc_3007","grabsample","none",370,"idexxquantitray","mpn","mpn",800,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"120","cmc_2972","grabsample","none",40,"idexxquantitray","mpn","mpn",10,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"121","cmc_3047","grabsample","none",120,"idexxquantitray","mpn","mpn",250,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"122","cmc_3063","grabsample","none",210,"idexxquantitray","mpn","mpn",801,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"123","cmc_3061","grabsample","none",800,"idexxquantitray","mpn","mpn",800,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"124","cmc_3054","grabsample","none",50,"idexxquantitray","mpn","mpn",380,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"125","cmc_3049","grabsample","none",110,"idexxquantitray","mpn","mpn",300,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"126","cmc_3062","grabsample","none",800,"idexxquantitray","mpn","mpn",800,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"127","cmc_3046","grabsample","none",110,"idexxquantitray","mpn","mpn",160,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"128","cmc_3043","grabsample","none",510,"idexxquantitray","mpn","mpn",140,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"129","cmc_3055","grabsample","none",200,"idexxquantitray","mpn","mpn",450,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"130","cmc_2963","grabsample","none",10,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"131","cmc_2969","grabsample","none",70,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"132","cmc_2965","grabsample","none",30,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"133","cmc_2964","grabsample","none",10,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"134","cmc_2970","grabsample","none",240,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"135","cmc_2967","grabsample","none",40,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"136","cmc_2966","grabsample","none",40,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"137","cmc_2956","grabsample","none",800,"idexxquantitray","mpn","mpn",800,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"138","cmc_2968","grabsample","none",50,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"139","cmc_4177","grabsample","none",1120,"idexxquantitray","mpn","mpn",600,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"140","cmc_4172","grabsample","none",160,"idexxquantitray","mpn","mpn",350,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"141","cmc_4164","grabsample","none",280,"idexxquantitray","mpn","mpn",170,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"142","cmc_4166","grabsample","none",150,"idexxquantitray","mpn","mpn",210,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"143","cmc_4163","grabsample","none",210,"idexxquantitray","mpn","mpn",140,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"144","cmc_4162","grabsample","none",90,"idexxquantitray","mpn","mpn",120,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"145","cmc_4170","grabsample","none",220,"idexxquantitray","mpn","mpn",330,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"146","cmc_4175","grabsample","none",350,"idexxquantitray","mpn","mpn",470,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"147","cmc_4159","grabsample","none",430,"idexxquantitray","mpn","mpn",60,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"148","cmc_4176","grabsample","none",230,"idexxquantitray","mpn","mpn",490,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"149","cmc_4165","grabsample","none",100,"idexxquantitray","mpn","mpn",180,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"150","cmc_4169","grabsample","none",210,"idexxquantitray","mpn","mpn",330,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"151","cmc_4179","grabsample","none",380,"idexxquantitray","mpn","mpn",760,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"152","cmc_4183","grabsample","none",800,"idexxquantitray","mpn","mpn",800,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"153","cmc_2163","grabsample","none",140,"idexxquantitray","mpn","mpn",200,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"154","cmc_2142","grabsample","none",450,"idexxquantitray","mpn","mpn",10,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"155","cmc_2155","grabsample","none",130,"idexxquantitray","mpn","mpn",100,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"156","cmc_2178","grabsample","none",800,"idexxquantitray","mpn","mpn",800,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"157","cmc_2158","grabsample","none",40,"idexxquantitray","mpn","mpn",140,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"158","cmc_2154","grabsample","none",60,"idexxquantitray","mpn","mpn",90,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"159","cmc_2150","grabsample","none",120,"idexxquantitray","mpn","mpn",40,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"160","cmc_2161","grabsample","none",170,"idexxquantitray","mpn","mpn",180,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"161","cmc_2168","grabsample","none",80,"idexxquantitray","mpn","mpn",270,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"162","cmc_2157","grabsample","none",170,"idexxquantitray","mpn","mpn",130,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"163","cmc_2166","grabsample","none",290,"idexxquantitray","mpn","mpn",250,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"164","cmc_2146","grabsample","none",80,"idexxquantitray","mpn","mpn",30,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"165","cmc_2151","grabsample","none",60,"idexxquantitray","mpn","mpn",50,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"166","cmc_2122","grabsample","none",60,"idexxquantitray","mpn","mpn",570,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"167","cmc_2119","grabsample","none",60,"idexxquantitray","mpn","mpn",380,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"168","cmc_2113","grabsample","none",30,"idexxquantitray","mpn","mpn",150,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"169","cmc_2115","grabsample","none",130,"idexxquantitray","mpn","mpn",160,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"170","cmc_2110","grabsample","none",100,"idexxquantitray","mpn","mpn",80,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"171","cmc_2141","grabsample","none",90,"idexxquantitray","mpn","mpn",410,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"172","cmc_2139","grabsample","none",200,"idexxquantitray","mpn","mpn",390,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"173","cmc_2131","grabsample","none",60,"idexxquantitray","mpn","mpn",150,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"174","cmc_2132","grabsample","none",70,"idexxquantitray","mpn","mpn",190,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"175","cmc_3087","grabsample","none",40,"idexxquantitray","mpn","mpn",20,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"176","cmc_3080","grabsample","none",40,"idexxquantitray","mpn","mpn",90,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"177","cmc_3083","grabsample","none",200,"idexxquantitray","mpn","mpn",190,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"178","cmc_2473","grabsample","none",20,"idexxquantitray","mpn","mpn",10,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"179","cmc_2475","grabsample","none",20,"idexxquantitray","mpn","mpn",70,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"180","cmc_2472","grabsample","none",10,"idexxquantitray","mpn","mpn",10,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"181","cmc_3079","grabsample","none",140,"idexxquantitray","mpn","mpn",800,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"182","cmc_3077","grabsample","none",10,"idexxquantitray","mpn","mpn",340,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"183","cmc_3078","grabsample","none",220,"idexxquantitray","mpn","mpn",360,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"184","cmc_3074","grabsample","none",80,"idexxquantitray","mpn","mpn",210,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"185","cmc_3072","grabsample","none",130,"idexxquantitray","mpn","mpn",120,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"186","cmc_3076","grabsample","none",120,"idexxquantitray","mpn","mpn",310,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"187","cmc_3075","grabsample","none",100,"idexxquantitray","mpn","mpn",250,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"188","cmc_3073","grabsample","none",200,"idexxquantitray","mpn","mpn",190,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"189","cmc_3071","grabsample","none",100,"idexxquantitray","mpn","mpn",110,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"190","cmc_3070","grabsample","none",130,"idexxquantitray","mpn","mpn",70,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"191","cmc_3069","grabsample","none",80,"idexxquantitray","mpn","mpn",10,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"192","cmc_2990","grabsample","none",120,"idexxquantitray","mpn","mpn",230,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"193","cmc_3002","grabsample","none",70,"idexxquantitray","mpn","mpn",630,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"194","cmc_2985","grabsample","none",60,"idexxquantitray","mpn","mpn",190,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"195","cmc_2984","grabsample","none",160,"idexxquantitray","mpn","mpn",180,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"196","cmc_2992","grabsample","none",180,"idexxquantitray","mpn","mpn",270,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"197","cmc_3004","grabsample","none",70,"idexxquantitray","mpn","mpn",800,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"198","cmc_2983","grabsample","none",80,"idexxquantitray","mpn","mpn",180,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"199","cmc_2994","grabsample","none",80,"idexxquantitray","mpn","mpn",300,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"200","cmc_2995","grabsample","none",360,"idexxquantitray","mpn","mpn",350,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"201","cmc_3008","grabsample","none",1500,"idexxquantitray","mpn","mpn",800,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"202","cmc_2975","grabsample","none",240,"idexxquantitray","mpn","mpn",20,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"203","cmc_2981","grabsample","none",140,"idexxquantitray","mpn","mpn",140,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"204","cmc_2974","grabsample","none",40,"idexxquantitray","mpn","mpn",20,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"205","cmc_3057","grabsample","none",150,"idexxquantitray","mpn","mpn",470,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
"206","cmc_3067","grabsample","none",180,"idexxquantitray","mpn","mpn",NA,NA,NA,NA,NA,NA,NA,NA
"207","cmc_3059","grabsample","none",1200,"idexxquantitray","mpn","mpn",580,"idexxquantitray","mpn","mpn",NA,NA,NA,NA
